level,step,time,area_ratio,volume_ratio,energy_ratio,normalized_surface_centroid_drift,energy_balance_residual,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual
base,11,0.0011000000000000001,0.99997910007949242,0.99997799997580128,0.99997910007949242,3.1401849173675503e-16,1.5114384317992847e-13,0.99999999992256083,0.86602159316952243,0.99997360005984137,0
base,12,0.0012000000000000001,0.99997720009387925,0.99997599996952191,0.99997720009387936,4.7752497883927362e-16,1.5126551308358466e-13,0.99999999990784116,0.8660212467393148,0.99997120007008167,1.3597399555105182e-16
base,13,0.0013000000000000002,0.99997530010945834,0.99997399996256231,0.99997530010945845,1.5700924586837752e-16,1.5112407523088456e-13,0.99999999989184152,0.86602090030732914,0.99996880008112221,0
base,14,0.0014,0.99997340012623204,0.99997199995492325,0.99997340012623215,3.1888728582940721e-16,1.5128851818079473e-13,0.9999999998745619,0.8660205538735648,0.99996640009296256,0
base,15,0.0015,0.99997150014419789,0.9999699999466044,0.99997150014419789,1.2412670766236366e-16,1.5114821993151583e-13,0.9999999998560023,0.86602020743802233,0.99996400010560349,1.2412670766236366e-16
base,16,0.0016000000000000001,0.99996960016335734,0.99996799993760488,0.99996960016335745,1.1102230246251565e-16,1.5120278028826379e-13,0.99999999983616283,0.86601986100070139,0.99996160011904434,0
base,17,0.0017000000000000001,0.99996770018370995,0.99996599992792579,0.99996770018370995,2.7194799110210365e-16,1.5117464370664058e-13,0.99999999981504351,0.86601951456160209,0.9999592001332851,1.5700924586837752e-16
base,18,0.0018000000000000002,0.9999658002052555,0.99996399991756713,0.99996580020525561,4.5775667985222375e-16,1.5114707728406998e-13,0.99999999979264409,0.86601916812072444,0.999956800148326,1.1102230246251565e-16
base,19,0.0019,0.99996390022799508,0.99996199990652823,0.99996390022799519,1.9229626863835638e-16,1.5124498044907785e-13,0.99999999976896492,0.86601882167806854,0.99995440016416726,0
base,20,0.002,0.99996200025192739,0.99995999989480966,0.99996200025192739,4.8393499691331265e-16,1.5116304226693895e-13,0.99999999974400566,0.86601847523363407,0.99995200018080843,1.1102230246251565e-16
fine,0,0,1,1,1,0,0,1,0.8660254037844386,1,1.1102230246251565e-16
fine,1,0.0001,0.99999650000759821,0.99999780000240024,0.99999650000759821,1.4770556661825108e-15,9.1178356193217445e-13,0.99999999998975986,0.86602401813603291,0.99999040002303985,1.1102230246251565e-16
fine,2,0.00020000000000000001,0.99999300002509273,0.99999559999576004,0.99999300002509273,7.4476024597418194e-16,9.1214265318571256e-13,0.99999999995903965,0.8660226324588054,0.99998080006400003,1.1102230246251565e-16
fine,3,0.00030000000000000003,0.99998950005247955,0.99999339998008041,0.99998950005247955,8.5458331069102901e-16,9.1200170827971798e-13,0.99999999990783917,0.86602124675275571,0.99997120012288132,0
fine,4,0.00040000000000000002,0.99998600008976102,0.9999911999553599,0.99998600008976113,3.554447978966673e-16,9.121795202947418e-13,0.99999999983615839,0.8660198610178832,0.99996160019968339,5.5511151231257827e-17
fine,5,0.00050000000000000001,0.99998250013693324,0.99998899992160062,0.99998250013693324,1.1102230246251565e-15,9.118295399393426e-13,0.99999999974399711,0.8660184752541874,0.99995200029440734,1.1102230246251565e-16
fine,6,0.00060000000000000006,0.99997900019400154,0.99998679987880168,0.99997900019400154,6.7303694023424736e-16,9.1217301486994865e-13,0.99999999963135544,0.86601708946166756,0.9999424004070534,1.2412670766236366e-16
fine,7,0.00069999999999999999,0.99997550026096105,0.99998459982696308,0.99997550026096105,4.2638924323926729e-16,9.1190543139149907e-13,0.99999999949823326,0.86601570364032343,0.9999328005376229,0
fine,8,0.00080000000000000004,0.99997200033781652,0.99998239976608527,0.99997200033781664,1.7244233337941968e-15,9.122202810554109e-13,0.99999999934463035,0.86601431779015425,0.99992320068611507,1.6653345369377348e-16
fine,9,0.00090000000000000008,0.99996850042456353,0.99998019969616747,0.99996850042456353,1.6708764309139491e-15,9.1197958436147085e-13,0.99999999917054672,0.86601293191115958,0.999913600852531,1.2412670766236366e-16
fine,10,0.001,0.99996500052120263,0.99997799961720923,0.99996500052120263,3.554447978966673e-16,9.1183559574845943e-13,0.99999999897598246,0.86601154600333896,0.99990400103687149,7.8504622934188758e-17
fine,11,0.0011000000000000001,0.99996150062773659,0.99997579952921356,0.9999615006277367,2.5438405243138006e-16,9.1201036130360934e-13,0.99999999876093715,0.86601016006669151,0.9998944012391362,0
fine,12,0.0012000000000000001,0.99995800074416341,0.99997359943217756,0.99995800074416352,7.928578270080922e-16,9.1194876993812445e-13,0.9999999985254111,0.86600877410121713,0.99988480145932601,1.5700924586837752e-16
fine,13,0.0013000000000000002,0.99995450087048365,0.99997139932610224,0.99995450087048376,9.0194944897658678e-16,9.1194225403129858e-13,0.999999998269404,0.86600738810691547,0.99987520169744204,2.4825341532472731e-16
fine,14,0.0014,0.99995100100669898,0.9999691992109877,0.99995100100669898,2.7194799110210365e-16,9.1212959162002854e-13,0.99999999799291572,0.8660060020837852,0.99986560195348406,1.5700924586837752e-16
fine,15,0.0015,0.99994750115280773,0.99996699908683506,0.99994750115280773,1.0934428697813141e-15,9.1213608296289894e-13,0.99999999769594661,0.86600461603182655,0.99985600222745263,0
fine,16,0.0016000000000000001,0.99994400130880834,0.99996479895364221,0.99994400130880834,4.002966042486721e-16,9.1196172498941535e-13,0.99999999737849599,0.8660032299510384,0.9998464025193482,1.6653345369377348e-16
fine,17,0.0017000000000000001,0.99994050147470326,0.99996259881141081,0.99994050147470337,1.1551122306821434e-15,9.1206448882652125e-13,0.9999999970405643,0.86600184384142076,0.99983680282917131,5.5511151231257827e-17
fine,18,0.0018000000000000002,0.99993700165049015,0.99996039866014108,0.99993700165049026,2.2887833992611187e-16,9.1188925899143714e-13,0.999999996682151,0.86600045770297251,0.99982720315692242,1.1102230246251565e-16
fine,19,0.0019,0.99993350183617169,0.99995819849983125,0.9999335018361718,5.9787339602818165e-16,9.1203278374803082e-13,0.99999999630325642,0.86599907153569367,0.9998176035026024,0
fine,20,0.002,0.99993000203174709,0.99995599833048354,0.99993000203174709,1.9229626863835638e-16,9.1206484950373811e-13,0.99999999590388045,0.86599768533958354,0.99980800386621127,0
