branch,stage,revision,vertex_count,edge_count,face_count,euler,all_edges_manifold,area,volume,centroid_x,centroid_y,centroid_z,minimum_face_area,minimum_quality,minimum_orientation_alignment,axis_length,active_energy
frozen_main,before_split,0,8,18,12,2,True,13.211102550927977,3,8.403712107640645e-18,-1.5,-0.5000000000000001,0.9013878188659973,0.6704712803492429,1,0.9290452088031023,0.010789062500000019
frozen_main,after_split,1,9,21,14,2,True,13.211102550927977,3,-3.361484843056258e-17,-1.5,-0.5000000000000001,0.75,0.6704712803492429,1,0.9290452088031024,0.010789062500000071
frozen_main,before_merge_frozen,1,9,21,14,2,True,13.211102550927977,3,-3.361484843056258e-17,-1.5,-0.5000000000000001,0.75,0.6704712803492429,1,0.9290452088031024,0.010789062500000071
frozen_main,after_merge_frozen,2,8,18,12,2,True,12.08708929067398,2.625,-0.008421200719650933,-1.6142423015748237,-0.5382474221707902,0.625,0.6704712803492429,0.8086075400626399,0.9290452088031023,0.010789062500000019
