candidate_id,local_0,local_1,persistent_0,persistent_1,split_local,original_half_edge,can_be_merged,merge_succeeded,collapse_x,collapse_y,collapse_z,machine_x,machine_y,machine_z,analytic_residual,deleted_persistent_0,deleted_persistent_1,created_persistent,before_revision,after_revision,euler,all_edges_manifold,minimum_orientation_alignment,minimum_quality,centroid_jump,area_jump,volume_jump,axis_jump,active_energy_jump,recovery_position_error,face_identity_recovered,recovery_area_error,recovery_volume_error,recovery_centroid_error,recovery_axis_error,recovery_energy_error,minimum_fiber_alignment,maximum_rebind_error,topology_legal,geometric_inverse,exception
1,0,8,0,8,8,True,True,True,0,-0.75,0,0,-0.75,0,0,0,8,9,1,2,2,True,0.8086075400626399,0.6704712803492429,0.08373635837457412,0.08508095792315566,0.125,1.1950150693478818e-16,4.823561294533619e-15,inf,False,0.08508095792315566,0.125,0.08373635837457412,0,0,1,5.551115123125783e-17,True,False,
2,1,8,1,8,8,True,True,True,0,-2.25,0,0,-2.25,0,0,1,8,9,1,2,2,True,0.8086075400626399,0.6704712803492429,0.07688357487656082,0.08288768176610295,0.08333333333333333,0,0,inf,False,0.08288768176610295,0.08333333333333333,0.07688357487656082,1.1950150693478818e-16,4.823561294533619e-15,1,5.551115123125783e-17,True,False,
3,2,8,2,8,,False,True,False,-0.5,-1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,material point cannot be rebound within the configured distance: id=101; distance=0.047434164902525666
4,3,8,3,8,8,False,True,True,0.5,-1.5,0,0.5,-1.5,0,0,3,8,9,1,2,2,True,0.87167173692536,0.6704712803492429,0.051382942741460415,0.06148713394178482,0.125,1.1950150693478818e-16,4.823561294533619e-15,inf,False,0.06148713394178482,0.125,0.05138294274146043,0,0,1,1.1102230246251565e-16,True,False,
