role,scope,criterion,operator,threshold,observed,passed,provenance,notes
revised_acceptance,S1_area_ratio,analytic_and_self_spatial_convergence,"monotonic, actual-h orders>=0.5, finest<0.02",true,"{""adjacent_differences"": [0.002657806701111006, 0.0010043746147267141, 0.0002609420908516214], ""errors"": [0.004004814084522685, 0.0013470073834116786, 0.0003426327686849645, 8.169067783334312e-05], ""exact"": 0.99984, ""generalized_orders"": [1.4913944569775595, 1.9704701430205205], ""orders"": [1.639255680027239, 1.995909592313835, 2.0738722984581583], ""responses"": [0.9998393592297464, 0.9998397844788186, 0.999839945178757, 0.9998399869294915]}",true,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv,
revised_acceptance,S1_volume_ratio,analytic_and_self_spatial_convergence,"monotonic, actual-h orders>=0.5, finest<0.02",true,"{""adjacent_differences"": [0.0006565978954762797, 0.00021205339593433805, 3.4987546851762206e-05], ""errors"": [0.0009090595682097984, 0.0002524616727335188, 4.0408276799180734e-05, 5.4207299474185325e-06], ""exact"": 0.999760009600256, ""generalized_orders"": [1.7253079700644776, 2.631073547807773], ""orders"": [1.9274152351545766, 2.671296335090018, 2.905731394812876], ""responses"": [0.9997597914346869, 0.9997599490118783, 0.9997599999026575, 0.9997600082993329]}",true,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv,
revised_acceptance,S1_energy_ratio,analytic_and_self_spatial_convergence,"monotonic, actual-h orders>=0.5, finest<0.02",true,"{""adjacent_differences"": [0.002657806701111006, 0.0010043746147267141, 0.0002609420894638426], ""errors"": [0.004004814084522685, 0.0013470073834116786, 0.0003426327686849645, 8.16906792211219e-05], ""exact"": 0.99984, ""generalized_orders"": [1.4913944569775595, 1.9704701507566824], ""orders"": [1.639255680027239, 1.995909592313835, 2.0738722738847377], ""responses"": [0.9998393592297464, 0.9998397844788186, 0.999839945178757, 0.9998399869294913]}",true,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv,
revised_acceptance,S1_area_ratio,finest_time_pollution,raw plateau or delta<=0.25*proxy,true,"{""delta_time"": 1.5433876399129076e-11, ""roundoff_plateau"": false, ""space_proxy"": 1.3085942329738032e-08}",true,results/hybrid/x1_k_family_c_trajectory_v06/time_pollution.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv,
revised_acceptance,S1_volume_ratio,finest_time_pollution,raw plateau or delta<=0.25*proxy,true,"{""delta_time"": 2.4005353260747597e-11, ""roundoff_plateau"": false, ""space_proxy"": 1.3249285002459033e-09}",true,results/hybrid/x1_k_family_c_trajectory_v06/time_pollution.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv,
revised_acceptance,S1_energy_ratio,finest_time_pollution,raw plateau or delta<=0.25*proxy,true,"{""delta_time"": 1.5433876399129076e-11, ""roundoff_plateau"": false, ""space_proxy"": 1.3085942551782637e-08}",true,results/hybrid/x1_k_family_c_trajectory_v06/time_pollution.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv,
revised_acceptance,S1_v06_step_controls,minimum_oriented_alignment,>,0,0.999999972906028,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,minimum_triangle_quality,>=,0.05,0.9375029070280622,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,minimum_face_area_ratio,>=,1e-4,0.9998276208355581,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,maximum_cache_residual,<=,1e-12,1.1654428776347817e-16,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,maximum_centroid_drift,<=,1e-2,1.6882136130237922e-15,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,maximum_surface_tension_only_energy_residual,<=,1e-3,3.324902439546511e-11,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,maximum_local_excursion,<=,0.25,0.14907345589013393,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,maximum_local_radial_error_over_h,<=,5e-4,0.0001853231892446462,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,maximum_local_edge_scaling_error,<=,5e-4,8.11597228111971e-06,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,minimum_local_quality_ratio,>=,0.90,0.9999958973908598,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v06_step_controls,force_buffers_cleared,equal,true,true,true,results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_dt_half_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/local_step_metrics.csv;results/hybrid/x1_k_family_c_trajectory_v06/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,minimum_oriented_alignment,>,0,0.9999999728836301,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,minimum_triangle_quality,>=,0.05,0.9375029070280622,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,minimum_face_area_ratio,>=,1e-4,0.9998276208222706,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,maximum_cache_residual,<=,1e-12,1.1204248708301837e-16,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,maximum_centroid_drift,<=,1e-2,1.6882136130237922e-15,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,maximum_surface_tension_only_energy_residual,<=,1e-3,1.3279069896530188e-10,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,maximum_local_excursion,<=,0.25,0.14907345589013393,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,maximum_local_radial_error_over_h,<=,5e-4,0.00018538803595970958,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,maximum_local_edge_scaling_error,<=,5e-4,8.115977706335542e-06,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,minimum_local_quality_ratio,>=,0.90,0.9999958973804223,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
revised_acceptance,S1_v07_step_controls,force_buffers_cleared,equal,true,true,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/local_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/energy_ledger.csv,
