family,source_level,valence,vertex_count,normal_absolute_error_mean,normal_absolute_error_maximum,normal_absolute_error_rms,tangential_speed_mean,tangential_speed_maximum,tangential_speed_rms
A,2,5,12,0.13450119078309963,0.13450119078310024,0.13450119078309966,3.9249035847283774e-16,5.4210108624275222e-16,4.090053593405829e-16
A,2,6,150,0.0084226563171376223,0.010189896617656281,0.0086388925167976104,0.0087202696699238014,0.016578082397171994,0.010992875526326289
A,3,5,12,0.14301365568111113,0.14301365568111399,0.14301365568111118,4.4653149239897306e-16,7.6664670834168702e-16,4.8843957384601067e-16
A,3,6,630,0.0021344297266850873,0.0044403204962101695,0.0024589763296495766,0.0038938467813130146,0.008346540630217605,0.0048146703484106997
A,4,5,12,0.14517471037746837,0.14517471037747698,0.1451747103774684,1.4151236016358884e-15,2.3454879155195633e-15,1.5156226038271818e-15
A,4,6,2550,0.00064489236492467402,0.0030601032844808362,0.00084088260374229676,0.0012848827052756564,0.0041805832202820225,0.0018492980872692039
A,5,5,12,0.14571706311377147,0.14571706311379637,0.14571706311377144,6.0034539004021418e-16,1.1727439577597816e-15,7.1055537856355765e-16
A,5,6,10230,0.00019031459544070146,0.002713884902626109,0.00035539919044764084,0.00037293674045349375,0.0020912097029918931,0.00067872861787955359
