phase,field,summary,T32,T64,T128,T32_T64_difference,T64_T128_difference,gate,gate_applicable,passed_T64_T128
0.25,ecm_max_principal_cauchy_stress,normalized_l2,,,,7.800376044224984e-05,3.094127968683231e-05,0.05,True,True
0.25,ecm_max_principal_cauchy_stress,absolute_p95,0.05351390921487612,0.05351069055037652,0.053509522714781446,6.0146316104032825e-05,2.1824341698154156e-05,0.05,True,True
0.25,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,4.199634440873764e-05,2.6968915110641605e-05,0.05,True,True
0.25,ecm_max_principal_green_lagrange_strain,absolute_p95,0.007982283198569468,0.007982116933624933,0.007981952905852423,2.0829246519870293e-05,2.0549407365786333e-05,0.05,True,True
0.25,ecm_viscoelastic_energy_density,normalized_l2,,,,0.00479323978841727,0.0026827864709191474,0.05,True,True
0.25,ecm_viscoelastic_energy_density,absolute_p95,6.26521593032914e-07,6.291857277806246e-07,6.307828635095496e-07,0.004234258073697763,0.0025319897247031357,0.05,True,True
0.25,endocardial_displacement,normalized_l2,,,,0.0004251769246126261,0.00020607840314825732,0.05,True,True
0.25,endocardial_displacement,absolute_p95,0.007087505781376582,0.007089942107088771,0.007091129468619769,0.0003436312561357624,0.00016744321708579292,0.05,True,True
0.25,jelly_endocardium_normal_traction,normalized_l2,,,,5.3175152228704785e-05,2.832097798076124e-05,0.05,True,True
0.25,jelly_endocardium_normal_traction,absolute_p95,1.4718822826002534e-05,1.4717287731521682e-05,1.4717582545180947e-05,0.00010429465039422647,2.003139159305261e-05,0.05,True,True
0.25,jelly_endocardium_tangential_traction,normalized_l2,,,,4.6416400285198994e-05,2.632719719221714e-05,0.05,True,True
0.25,jelly_endocardium_tangential_traction,absolute_p95,0.0013189646221231051,0.0013189503459232316,0.0013189222689299284,1.0823792870609951e-05,2.1287377034334094e-05,0.05,True,True
0.25,jelly_endocardium_traction_magnitude,normalized_l2,,,,4.872365748235371e-05,2.6920892121405158e-05,0.05,True,True
0.25,jelly_endocardium_traction_magnitude,absolute_p95,0.0014033870681195752,0.0014033611667247016,0.001403330004232451,1.8456344270173673e-05,2.220561106407882e-05,0.05,True,True
0.25,myocyte_displacement,normalized_l2,,,,2.2500282462828665e-06,1.1012749525146802e-06,0.05,True,True
0.25,myocyte_displacement,absolute_p95,0.03860373973261557,0.03860360252455436,0.0386035353227021,3.5542686320477025e-06,1.740818158455941e-06,0.05,True,True
0.25,myocyte_jelly_normal_traction,normalized_l2,,,,2.101180299635055e-05,1.0820447085566492e-05,0.05,True,True
0.25,myocyte_jelly_normal_traction,absolute_p95,0.0067457505125083,0.0067457652673532835,0.006745757853920787,2.1872751865883954e-06,1.0989757577593017e-06,0.05,True,True
0.25,myocyte_jelly_tangential_traction,normalized_l2,,,,8.489657797360286e-06,5.967204178906753e-06,0.05,True,True
0.25,myocyte_jelly_tangential_traction,absolute_p95,0.04751545547246215,0.04751581480656089,0.04751607106140859,7.562410540637514e-06,5.393014236476209e-06,0.05,True,True
0.25,myocyte_jelly_traction_magnitude,normalized_l2,,,,8.588911399288496e-06,6.000991124489191e-06,0.05,True,True
0.25,myocyte_jelly_traction_magnitude,absolute_p95,0.047975230354359875,0.047975586629913976,0.047975841091792856,7.426184422687006e-06,5.303958681904961e-06,0.05,True,True
0.5,ecm_displacement,normalized_l2,,,,0.0003964090441126177,0.00019751371062246386,0.05,True,True
0.5,ecm_displacement,absolute_p95,0.02135643581871843,0.02135333510203931,0.021351737629582063,0.00014518886510096068,7.481137956259529e-05,0.05,True,True
0.5,ecm_dissipation_density,normalized_l2,,,,0.0020977608594898015,0.0009410622069810199,0.05,True,True
0.5,ecm_dissipation_density,absolute_p95,5.3821911368389175e-05,5.370662218443895e-05,5.365514433184367e-05,0.0021420492327208027,0.00095850102839262,0.05,True,True
0.5,ecm_equilibrium_energy_density,normalized_l2,,,,0.0006105163072703696,0.0003200217573039838,0.05,True,True
0.5,ecm_equilibrium_energy_density,absolute_p95,0.0008277664360907746,0.0008272633600941791,0.000826997156216516,0.0006077511417003706,0.0003217885506652764,0.05,True,True
0.5,ecm_internal_z,normalized_l2,,,,0.002480968889419342,0.0013040178105150166,0.05,True,True
0.5,ecm_internal_z,absolute_p95,0.017596915912391913,0.017552720246551284,0.017529597150441778,0.00251155748317843,0.0013173511447064073,0.05,True,True
0.5,ecm_jacobian,normalized_l2,,,,5.806812689977153e-07,2.9060578027670165e-07,0.05,True,True
0.5,ecm_jacobian,absolute_p95,1.0029392577225922,1.0029387145225759,1.0029384458246886,5.41608090538083e-07,2.679105745771997e-07,0.05,True,True
0.5,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.0002737713225981868,0.00013702662716737066,0.05,True,True
0.5,ecm_max_principal_cauchy_stress,absolute_p95,0.0936469695369399,0.09361747244338227,0.09360264013266462,0.0003149818269987027,0.00015843528275795514,0.05,True,True
0.5,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.000370266623278309,0.0001987291896782787,0.05,True,True
0.5,ecm_max_principal_green_lagrange_strain,absolute_p95,0.013313314235566217,0.01330859648499304,0.013306067913225385,0.00035436334557284525,0.0001899953740805963,0.05,True,True
0.5,ecm_viscoelastic_energy_density,normalized_l2,,,,0.005731231647181209,0.0029706294734921806,0.05,True,True
0.5,ecm_viscoelastic_energy_density,absolute_p95,5.298640195512045e-05,5.328840289538194e-05,5.344589478806261e-05,0.005667292015757956,0.0029467537835261856,0.05,True,True
0.5,endocardial_displacement,normalized_l2,,,,0.0002326771086949959,0.00011338531743757419,0.05,True,True
0.5,endocardial_displacement,absolute_p95,0.014084009321199496,0.01408599396432056,0.01408695530243565,0.00014089478712628613,6.824314370632709e-05,0.05,True,True
0.5,jelly_endocardium_normal_traction,normalized_l2,,,,0.00024042039565965232,0.00012509528890848555,0.05,True,True
0.5,jelly_endocardium_normal_traction,absolute_p95,2.4169035705211132e-05,2.4162324655281296e-05,2.4159852525282096e-05,0.0002776713978865342,0.0001023134170436676,0.05,True,True
0.5,jelly_endocardium_tangential_traction,normalized_l2,,,,0.0003502318812980253,0.00018872138446385586,0.05,True,True
