layer,T32_status,T64_status,T128_status,T32_ratio,T64_ratio,T128_ratio,T32_absolute_residual,T64_absolute_residual,T128_absolute_residual,T32_cycle_amplitude,T64_cycle_amplitude,T128_cycle_amplitude,gate,passed_T64_and_T128
myocyte,resolved,resolved,resolved,3.9952900189574995e-08,6.94752532379318e-09,1.5223138489904177e-09,2.8740171673156066e-09,4.997696652589595e-10,1.0950735935772918e-10,0.07193513246043477,0.07193491811356183,0.07193481122854745,0.001,True
ecm,resolved,resolved,resolved,9.516577453535123e-06,2.0555762539056565e-06,4.835413197234478e-07,2.0324017560028572e-07,4.3893408577442126e-08,1.0324447391796913e-08,0.02135643581871843,0.02135333510203931,0.021351737629582063,0.001,True
endocardial,resolved,resolved,resolved,7.0826183573448645e-06,1.0356966402679902e-06,1.6433220109541043e-07,9.975166296334374e-08,1.4588816623681993e-08,2.3149403715819135e-09,0.014084009321199496,0.01408599396432056,0.01408695530243565,0.001,True
