family,source_level,vertices,triangles,h_min,h_rms,h_max,directional_residual,legacy_cache_ratio,normal_velocity_relative_l2,tangential_velocity_relative_l2,normalized_net_force_residual,minimum_triangle_quality,minimum_outward_alignment,minimum_face_to_mean_area_ratio,maximum_radius_deviation,euler_characteristic,closed_two_manifold,positive_signed_volume,all_face_origin_contributions_positive,no_self_intersection_proxy_passed,symmetry_class_count,maximum_symmetry_class_size,exact_normal_velocity
C,1,42,80,0.47282252043399459,0.58464658336226838,0.69906593734102973,2.2071367425911352e-10,0.49999999999999983,0.058544396083844895,0.024079009643659676,5.3303039072845886e-17,0.9546101150262426,0.99800978348849045,0.74270112739405036,2.2204460492503131e-16,2,1,1,1,1,21,2,-0.0040000000000000001
C,2,162,320,0.23765017620041126,0.30075874473072661,0.36830343873964139,3.295131715129582e-10,0.49999999999999983,0.034410560603453613,0.012883427116400337,7.375992710396884e-17,0.94198378952304651,0.99932155158266256,0.71884643809924975,2.2204460492503131e-16,2,1,1,1,1,81,2,-0.0040000000000000001
C,3,642,1280,0.11854817208737849,0.1514741410305466,0.18822896315815787,9.1052303268643118e-09,0.500000000000001,0.017857847447865338,0.0051921156732908187,3.3282590028655809e-16,0.93855760095940666,0.99981680324444855,0.70807519883388859,2.2204460492503131e-16,2,1,1,1,1,321,2,-0.0040000000000000001
C,4,2562,5120,0.059253300868137376,0.075875218725294305,0.094687322238330027,3.2170202692530195e-08,0.50000000000000178,0.0090084184604997432,0.0019345991282654401,2.2129905479438756e-16,0.93750343228680921,0.99995279830626249,0.70556961482705416,3.3306690738754696e-16,2,1,1,1,1,1281,2,-0.0040000000000000001
