family,coarse_source_level,fine_source_level,total_error_energy_order,valence_5_error_energy_order,valence_6_error_energy_order,valence_5_closed_one_ring_error_energy_order
C,1,2,1.514340396554599,1.2067360708261985,3.2627458678532077,1.582632786153527
C,2,3,1.8914702294577357,1.8275538794503847,2.9997557132664503,1.8750401694985872
C,3,4,1.9743489176985625,1.9582726116411293,2.4834270879392082,1.9618952062112773
