family,source_level,vertices,triangles,h_min,h_rms,h_max,directional_residual,legacy_cache_ratio,normal_velocity_relative_l2,tangential_velocity_relative_l2,normalized_net_force_residual,minimum_triangle_quality,minimum_outward_alignment,minimum_face_to_mean_area_ratio,maximum_radius_deviation,euler_characteristic,closed_two_manifold,no_self_intersection_proxy_passed,symmetry_class_count,maximum_symmetry_class_size
B,1,42,80,0.40922826232540854,0.58840896290771105,0.78854890172015146,2.6248755493431706e-10,0.50000000000000011,0.062034301898774166,0.047695923082573206,7.4629025037746755e-17,0.90987265462830802,0.9952301384751604,0.58015104557003272,2.2204460492503131e-16,2,1,1,21,2
B,2,162,320,0.20503114748388765,0.3031639660703912,0.41948821791780988,1.5811678216300169e-10,0.50000000000000044,0.037052412958206965,0.017568864671879736,1.5155386834892e-16,0.89557871475986439,0.99843847218483539,0.5544059286339923,2.2204460492503131e-16,2,1,1,81,2
B,3,642,1280,0.10192089462248843,0.15275378114008448,0.2152156893094361,2.5132595595492124e-09,0.50000000000000033,0.019279996933414895,0.0060955249246135452,3.8200876247615283e-16,0.89120473169983416,0.9995647869595744,0.54173757568727621,2.2204460492503131e-16,2,1,1,321,2
B,4,2562,5120,0.05090706125131448,0.076525074224933931,0.10866018191524156,1.0825271367714543e-08,0.49999999999999833,0.009720003631600976,0.0021125585236056415,2.5236499461375857e-16,0.88861068911400465,0.99988592975590518,0.53861621609383792,3.3306690738754696e-16,2,1,1,1281,2
