level,vertices,triangles,h_rms,h_max,directional_residual,legacy_cache_ratio,normal_velocity_relative_l2,tangential_velocity_relative_l2,normalized_net_force_residual
0,12,20,1.051462224238267,1.0514622242382672,5.781145652225154e-11,0.50000008127746964,1.3996989859860865e-16,2.0057290356172717e-16,4.438006157029522e-17
1,42,80,0.5833799767501565,0.6180339887498949,2.793126941101084e-12,0.49999961475931787,0.05738043558645111,2.5044194914478364e-16,2.2688928423732637e-17
2,162,320,0.2999543167525501,0.3249196962329064,6.329425267435071e-10,0.50000043355406731,0.03356352001836485,0.010875028470750475,6.382879252150122e-17
3,642,1280,0.15104703676954007,0.16464716006392044,3.309201123538148e-9,0.50000070296909394,0.01740432186214391,0.004857026773020317,4.560319363353449e-16
