time,alpha,alpha_rate,fiber_length,axial_shortening,transverse_scale_change_1,transverse_scale_change_2,volume_error,centroid_drift,passive_energy,active_energy,stored_energy,dissipation,active_power,active_net_force,active_net_moment,projected_residual,gauge_increment_residual,optimizer_iterations,optimizer_evaluations,optimizer_reported_success
0,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,0,0,0,1,1
0.02,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.040000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.059999999999999998,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.080000000000000002,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.10000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.12,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.14000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.16,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.17999999999999999,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.20000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.22,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.23999999999999999,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.26000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.28000000000000003,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.29999999999999999,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.32000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.34000000000000002,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.35999999999999999,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.38,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.40000000000000002,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.41999999999999998,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.44,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.46000000000000002,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.47999999999999998,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.5,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.52000000000000002,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.54000000000000004,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.56000000000000005,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.57999999999999996,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.59999999999999998,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.62,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.64000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.66000000000000003,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.68000000000000005,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.70000000000000007,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.71999999999999997,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.73999999999999999,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.76000000000000001,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.78000000000000003,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.80000000000000004,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.82000000000000006,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.83999999999999997,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.85999999999999999,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.88,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.90000000000000002,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.92000000000000004,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.94000000000000006,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.95999999999999996,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
0.97999999999999998,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
1,0,0,0.98219321722609676,0,0,0,0,0,1.3548642195297149e-33,0,1.3548642195297149e-33,0,0,0,0,9.5117249231237466e-17,0,0,1,1
