run,step,time,revision,vertex_count,face_count,axis_length,surface_area,area_ratio,volume,volume_ratio,centroid_x,centroid_y,centroid_z,normalized_centroid_drift,registered_active_energy,active_control_work,viscous_dissipation,energy_balance_residual,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual,force_buffer_l2_norm,finite,state_hash
remesh,0,0,0,8,12,0.92904520880310226,13.211102550927977,1,3,1,8.403712107640645e-18,-1.5,-0.50000000000000011,0,0.010789062500000019,0,0,0,1,0.67047128034924286,1,1.5395713023350294e-16,0,1,2353052345733728689
remesh,1,0.00062500000000000001,0,8,12,0.92903774998873589,13.211069956340394,0.99999753278823944,2.999986271426891,0.99999542380896367,1.5340478468257708e-07,-1.5000000734577217,-0.50000099797818265,7.0193695501639021e-07,0.010785597990294365,0,3.4647878752555596e-06,2.7816960124233135e-10,0.9999999999646938,0.67046717473839723,0.99999458111160777,1.1653643974078523e-17,0,1,8213816795418156617
remesh,2,0.00125,1,9,14,0.92903029234452406,13.211037367057923,0.99999506597804355,2.9999725450071231,0.99999084833570773,3.0678510059343443e-07,-1.500000146904928,-0.50000199580489479,1.4037672793108374e-06,0.010782134580316505,0,3.4636880601636771e-06,2.7808230429968714e-10,0.99999999985879717,0.67047128034924286,0.8320347876387979,1.5478875746425269e-16,0,1,12666258624721988858
remesh,3,0.0018749999999999999,2,8,12,0.92902087018747137,12.086997020560718,0.91491205779124773,2.6249625126377913,0.87498750421259708,-0.0084202897770837472,-1.6142419627702487,-0.5382506338444677,0.083736797387197567,0.010777759624720683,0,4.375399481002363e-06,4.438851797080787e-10,0.80861116900883834,0.67047128034924286,0.69337147420786105,1.5395713023350294e-16,0,1,5905189986891843850
