cycle,step,t_over_T,time,activation,activation_rate,axial_shortening,maximum_discrete_interface_traction,p95_discrete_interface_traction,total_stored_energy,ecm_equilibrium_energy,ecm_viscoelastic_energy,ecm_internal_z_norm,ecm_dissipation_step,cumulative_ecm_dissipation,coupling_iterations,coupling_residual,solve_seconds,normalized_kkt_residual,volume_constraint_residual,minimum_ecm_jacobian,maximum_ecm_jacobian,minimum_gap,minimum_myocyte_face_area_ratio,minimum_endocardial_face_area_ratio,internal_symmetry_residual,internal_trace_residual,passed
1,0,0.0,0.0,0.0,0.0,2.2183572274792063e-05,0.002404640838370549,0.002212965841488521,-0.018618351593485617,1.4513668593630757e-06,5.276330975720839e-06,0.48089259608401874,0.0,0.0,0,0.0,0.0,8.334254346183182e-07,6.661338147750939e-16,0.9990184663012823,1.0010330193688433,0.03911921933635671,0.9999451682437795,0.9994312968218946,0.0,3.469446951953614e-18,True
1,1,0.0078125,0.0078125,0.0001204543794827595,0.030830129039150587,0.0001134078672642147,0.002336177628741317,0.0021513951089075457,-0.018618394032265888,1.4554097477503515e-06,5.230007684216031e-06,0.4794992424071276,4.10194064989158e-08,4.10194064989158e-08,2,2.8846742279678638e-06,46.971140414942056,3.5897567112549366e-09,2.220446049250313e-16,0.999013173720934,1.0010351501711348,0.039116169818269195,0.9998816772527359,0.9994313778208378,0.0,3.469446951953614e-18,True
1,2,0.015625,0.015625,0.00048152733278030715,0.061585985597045485,0.00038558661942977857,0.00214219358627887,0.0019710836566028764,-0.01861822827468994,1.4812924113145832e-06,5.157305788993804e-06,0.4781156055395017,4.0449199192650677e-08,8.146860569156648e-08,2,2.873355309506305e-06,45.18139490392059,3.6597031520500876e-09,1.1102230246251565e-16,0.9989928145960877,1.0010463271797385,0.03910524131148824,0.9996559055566958,0.9994302999460998,0.0,3.469446951953614e-18,True
1,3,0.0234375,0.0234375,0.0010823490035218985,0.09219347612134185,0.0008304227278245202,0.0018252049299346059,0.001691430534345109,-0.018617224708495823,1.5306587409370682e-06,5.057790609604067e-06,0.47674538058399374,3.9668692959644744e-08,1.2113729865121122e-07,2,2.8537656177690778e-06,46.22452926100232,3.615937875901394e-09,5.551115123125783e-16,0.9989568022339378,1.0010671358626626,0.03908514412740448,0.9992370380380354,0.9994275223250901,0.0,3.469446951953614e-18,True
1,4,0.03125,0.03125,0.001921471959676957,0.12257886448646711,0.0014509473648052218,0.0013861238586447455,0.0012800777092137222,-0.01861434036412569,1.604691427779563e-06,4.932612099654666e-06,0.47539221526967557,3.868690698635855e-08,1.5982420563756976e-07,2,2.82651724718027e-06,45.8774287449196,3.6324493945537597e-09,2.220446049250313e-16,0.9989053377672008,1.0011012895279532,0.0390561253797072,0.9986526005795672,0.9994230619298407,0.0,3.469446951953614e-18,True
1,5,0.0390625,0.0390625,0.0029968746805456026,0.152668949630404,0.0022448798157579386,0.0009248397577884325,0.0007801955996807775,-0.018608128008862284,1.705094746230218e-06,4.783204889691424e-06,0.4740596979363113,3.751509320531042e-08,1.973392988428802e-07,2,2.791454015511166e-06,43.37360667414032,3.449212718416346e-09,1.1102230246251565e-16,0.9988386052877988,1.001153761671138,0.03901827782042836,0.9979045759101274,0.9994169210625258,0.0,3.469446951953614e-18,True
1,6,0.046875,0.046875,0.004305966426779118,0.1823912419024606,0.003209311172960083,0.0005172801549080291,0.00040827726898471316,-0.018596748857447748,1.8340428018227907e-06,4.61128955188098e-06,0.4727513432228843,3.616674621409506e-08,2.3350604505697525e-07,2,2.7486543047136675e-06,48.56522429315373,3.466781196344587e-09,6.661338147750939e-16,0.9987568644173151,1.0012182737818256,0.038971774402447396,0.9969954932346972,0.9994091044473015,0.0,3.469446951953614e-18,True
1,7,0.0546875,0.0546875,0.00584559348169792,0.21167413769718818,0.0043407474847568794,0.0010035350776480207,0.0007519241425596299,-0.01857798889148137,1.9939575684586477e-06,4.419002591333041e-06,0.47147055810477434,3.465862280866278e-08,2.6816466786563805e-07,2,2.6987007487409224e-06,55.82654438097961,3.3736563768819577e-09,0.0,0.9986608599213247,1.001293800238921,0.038917107155384156,0.9959284019413134,0.9993998122761178,0.0,3.469446951953614e-18,True
1,8,0.0625,0.0625,0.007612046748871327,0.2404470919537385,0.005635056362096824,0.0019039711473775314,0.0016006338859921795,-0.018549278731045813,2.1878988245478078e-06,4.2084285613353445e-06,0.47022066401975104,3.300707232229188e-08,3.0117174018792993e-07,2,2.6417108811880015e-06,49.20578813692555,3.2288363601635577e-09,2.220446049250313e-16,0.9985506061494331,1.001380563417503,0.03885413787520905,0.9947068640824294,0.9993893630257584,0.0,3.469446951953614e-18,True
1,9,0.0703125,0.0703125,0.009601070687655667,0.26864078810509434,0.007087555575557958,0.0029364775692085664,0.0025476276906848095,-0.018507716924761143,2.418788053961673e-06,3.982231404053558e-06,0.4690048315732835,3.1232988285772725e-08,3.3240472847370263e-07,2,2.5764305838568586e-06,45.68311035982333,3.224340727129314e-09,4.440892098500626e-16,0.9984267360012563,1.0014769822079586,0.038783759113600776,0.9933349796235729,0.9993765554624395,0.0,3.469446951953614e-18,True
1,10,0.078125,0.078125,0.011807873565164495,0.29618730506775104,0.008692885504032466,0.004102886533854862,0.0035905436829741836,-0.01845009668705243,2.690494721226592e-06,3.7426293424124423e-06,0.4678261555076469,2.9353768415007066e-08,3.617584968887097e-07,2,2.5040861961530565e-06,45.102559205144644,3.3645531689026967e-09,0.0,0.998289457918527,1.0015842157863808,0.03870576967318169,0.9918174157412066,0.9993621588465148,0.0,3.469446951953614e-18,True
1,11,0.0859375,0.0859375,0.014227138999972789,0.3230202808695556,0.010445191898918238,0.0054132741099390935,0.004756547492839938,-0.018372935924261695,3.007434671932403e-06,3.4918152108230514e-06,0.4666876734841289,2.738661130156964e-08,3.8914510819027934e-07,2,2.420458975487985e-06,44.00509857409634,3.4756126822926974e-09,0.0,0.9981389159230061,1.0017026472147212,0.0386035997997147,0.9901592384119394,0.9993463931176609,0.0,3.469446951953614e-18,True
1,12,0.09375,0.09375,0.016853038769745476,0.3490750725215103,0.012338363545838726,0.006853830798672257,0.0060544540809975515,-0.01827251025238072,3.3755969171092724e-06,3.2313633778359e-06,0.46559248234727624,2.5343864855339735e-08,4.1448897304561906e-07,2,2.3300368162212474e-06,45.14107956690714,2.861732439117256e-09,0.0,0.997974670496277,1.0018290055007242,0.03828944352917551,0.9883657203770099,0.9993294764553619,0.0,3.469446951953614e-18,True
1,13,0.1015625,0.1015625,0.019679246851935506,0.37428891174839557,0.014365459244328749,0.008400370563410201,0.007453663825960372,-0.01814488959200484,3.7982320052725018e-06,2.9649134993387523e-06,0.46454342401045545,2.325407521494468e-08,4.3774304826056374e-07,2,2.2347815909203925e-06,44.888287582900375,2.663523683854448e-09,0.0,0.9977980243037594,1.0019636852074292,0.037903354720307626,0.9864429347774363,0.9993118076925058,0.0,3.469446951953614e-18,True
1,14,0.109375,0.109375,0.022698954663726303,0.39860105620304215,0.016519089378154272,0.010053150142706262,0.008942963965596188,-0.017985977982061176,4.279336001993979e-06,2.6955285355761947e-06,0.46354316658543454,2.1141265444775385e-08,4.588843137053391e-07,2,2.135055852018405e-06,43.000811357051134,2.5426617004373044e-09,3.3306690738754696e-16,0.9976095429670683,1.002107347694369,0.037485084367932964,0.9843973080542238,0.9992932153073172,0.0,3.469446951953614e-18,True
1,15,0.1171875,0.1171875,0.02590488746450409,0.42195293579996646,0.018791530270654055,0.011805332836819725,0.010516651485351252,-0.017791555750468008,4.822634780450226e-06,2.4262980448076528e-06,0.46259418750077097,1.902966721977341e-08,4.779139809251126e-07,2,2.02941509079519e-06,45.2704110709019,2.4136252149591054e-09,1.1102230246251565e-16,0.9974099913914347,1.0022595005549633,0.037040492587416735,0.9822355881416298,0.9992735243683241,0.0,3.469446951953614e-18,True
1,16,0.125,0.125,0.029289321881345243,0.44428829381583657,0.021174680239079202,0.013650595630471723,0.012169740275032712,-0.017557324374495902,5.4320828433030554e-06,2.1600418692097705e-06,0.4616988052736212,1.6941396808114668e-08,4.948553777332272e-07,2,1.9181998045214473e-06,44.582576191052794,2.2649208830464643e-09,4.440892098500626e-16,0.9971999944147983,1.0024196608599152,0.036570676816560614,0.9799648333264301,0.9992440725005484,0.0,3.469446951953614e-18,True
1,17,0.1328125,0.1328125,0.03284410451529817,0.4655533224168459,0.023660092833537538,0.015583650392185996,0.0138970481403787,-0.01727895375771359,6.111401246740769e-06,1.8995139782864545e-06,0.4608591735440337,1.4898053832856614e-08,5.097534315660838e-07,2,1.8017810154871188e-06,43.3827469360549,2.1558727277001028e-09,1.1102230246251565e-16,0.9969802043305002,1.002587323998529,0.03607684199011155,0.977592407169836,0.9991988043087917,0.0,3.469446951953614e-18,True
1,18,0.140625,0.140625,0.036560671583635455,0.485696792286498,0.02623901860365896,0.01760292899168691,0.015693220681376824,-0.016952131655535076,6.864004576037479e-06,1.6473710162134688e-06,0.4600772758265347,1.2920474586017921e-08,5.226739061521017e-07,2,1.6805483842078407e-06,43.13465842301957,1.9682749093148682e-09,4.440892098500626e-16,0.9967512981031806,1.0027619659883382,0.0355603014352147,0.9751259439318771,0.9991500827708295,0.0,3.469446951953614e-18,True
1,19,0.1484375,0.1484375,0.040430069550756655,0.5046701760415172,0.02890244902563277,0.019696826006814838,0.017552755648779974,-0.01657261492633931,7.692931801017005e-06,1.4061426771298346e-06,0.45935492099354197,1.1028499679404864e-08,5.337024058315065e-07,2,1.5549085611038034e-06,41.55545383319259,1.8156126298715217e-09,1.1102230246251565e-16,0.9965139743589485,1.0029430458590387,0.035022476376967523,0.9725733125031106,0.9990929082725198,0.0,3.469446951953614e-18,True
1,20,0.15625,0.15625,0.044442976698039774,0.5224277651385659,0.03164116238349168,0.02185922268185901,0.019470027414690432,-0.016136282265437195,8.60078204603345e-06,1.1782042734544903e-06,0.4586937395022888,9.240758895525943e-09,5.429431647270324e-07,2,1.425280927903365e-06,43.357912089908496,1.7042856891123276e-09,0.0,0.9962689504496193,1.0031300081204155,0.03446489389408324,0.96994257904725,0.9990337082072225,0.0,3.469446951953614e-18,True
1,21,0.1640625,0.1640625,0.04858972558067784,0.538926779990128,0.03444577137001503,0.024083906161222503,0.02143931141428565,-0.015639188037477804,9.58965607445918e-06,9.657518521575943e-07,0.4580951803656681,7.574476022336906e-09,5.505176407493693e-07,2,1.2921065483962686e-06,43.83604516997002,1.5133907382166708e-09,3.3306690738754696e-16,0.9960169594297841,1.0033222852650558,0.033889183183849654,0.9672419686078013,0.9989726438195438,0.0,3.469446951953614e-18,True
1,22,0.171875,0.171875,0.05286032631740022,0.5541274730242828,0.03730677212551692,0.026364576739620765,0.023454808256784362,-0.0150776167800672,1.0661104440870704e-05,7.707800962684577e-07,0.4575605088729205,6.045295532839725e-09,5.56562936282209e-07,2,1.155836277256216e-06,44.59649470704608,1.3642026745154402e-09,3.3306690738754696e-16,0.9957587470042278,1.0035193003334402,0.03329707015213462,0.9644798259527391,0.9989098808000226,0.0,3.469446951953614e-18,True
1,23,0.1796875,0.1796875,0.057244490656971785,0.5679932244400879,0.0402145943778911,0.02869485895460401,0.025510667395711804,-0.014448137908227902,1.1816082942460481e-05,5.950632629888208e-07,0.4570908050574405,4.667133081042105e-09,5.612300693632512e-07,2,1.0169193418889485e-06,42.45695599797182,1.1805497171844652e-09,2.220446049250313e-16,0.9954950684766082,1.0037204694656234,0.03269037023817555,0.9616645759626135,0.9988455889297232,0.0,3.469446951953614e-18,True
1,24,0.1875,0.1875,0.061731656763491016,0.5804906304278862,0.04315965230915242,0.03106831497760651,0.02760101021974298,-0.013747660106839171,1.305491589706634e-05,4.401393395066602e-07,0.4566869629031127,3.4520512346233256e-09,5.646821205978745e-07,2,8.758730405591679e-07,39.44273361796513,1.1163194108502374e-09,2.220446049250313e-16,0.995226685697986,1.0039252045039486,0.03207097950972629,0.958804683896734,0.9987799413806973,0.0,3.469446951953614e-18,True
1,25,0.1953125,0.1953125,0.066311014660778,0.5915895836420095,0.046132395716379504,0.03347845942832714,0.02971995242330226,-0.012973484857540506,1.437726774317052e-05,3.072975286215679e-07,0.4563496902796462,2.4101613236022193e-09,5.670922819214768e-07,2,7.331552678812274e-07,38.3580068051815,8.456364327001547e-10,2.220446049250313e-16,0.9949543640407985,1.0041329154872847,0.031440864108998975,0.9559086159044893,0.9987131143158829,0.0,3.469446951953614e-18,True
1,26,0.203125,0.203125,0.07097153227455377,0.6012633457320116,0.04912336099017922,0.03591877517312805,0.031861625515364686,-0.012123358509092574,1.5782123268445035e-05,1.9756913572054708e-07,0.45607950959419274,1.549551966093328e-09,5.686418338875701e-07,2,5.893079803957889e-07,37.38759552012198,7.042894955427716e-10,0.0,0.994678869406591,1.0043430131897395,0.030802048184142925,0.9529848001539637,0.9986452863051484,0.0,3.469446951953614e-18,True
1,27,0.2109375,0.2109375,0.0757019820096736,0.609488611757696,0.05212322140058423,0.03838272985850544,0.034020197443764305,-0.011195522267364652,1.7267776571823613e-05,1.1172188350456351e-07,0.455876759138497,8.762444782114411e-10,5.695180783657816e-07,2,4.449399544889063e-07,37.85969952889718,5.321967562031894e-10,2.220446049250313e-16,0.9944009652790224,1.004554911507748,0.030156600416344395,0.9500415889800796,0.9985766378596569,0.0,3.469446951953614e-18,True
1,28,0.21875,0.21875,0.08049096779838717,0.6162455663327588,0.05512283613343727,0.04086379323823117,0.03618989218819914,-0.010188759454562654,1.8831828856777663e-05,5.0257610253294556e-08,0.4557415951119923,3.9417482136121877e-10,5.699122531871428e-07,2,3.0095491981964817e-07,36.617890984984115,3.694249118005754e-10,3.3306690738754696e-16,0.9941214098623341,1.004768029834418,0.029506619448012278,0.9470872224421991,0.9985040594694572,0.0,3.469446951953614e-18,True
1,29,0.2265625,0.2265625,0.08532695255446383,0.6215179313617893,0.05811329750878946,0.04335545511008643,0.03836500830971786,-0.009102439368695274,2.0471194890521863e-05,1.3413276475980448e-08,0.45567399429358046,1.052014974874581e-10,5.700174546846303e-07,2,1.5981891582781286e-07,39.647222683997825,1.8821340789444146e-10,2.220446049250313e-16,0.9938409532963304,1.0049817952665083,0.02885421838839426,0.9441297936966331,0.998429766806508,0.0,3.469446951953614e-18,True
1,30,0.234375,0.234375,0.09019828596704393,0.6252930052556279,0.061085975570855156,0.045851219382512166,0.040539933076431695,-0.007936557065246298,2.2182107895138565e-05,1.1625478811884269e-09,0.4556737589036104,9.117964445224996e-12,5.700265726490755e-07,1,4.572829997731981e-05,24.68293350795284,6.669798962697473e-08,2.220446049250313e-16,0.9935603925695075,1.0051956097157968,0.02820157065023556,0.9411772167885349,0.998355034664088,0.0,3.469446951953614e-18,True
1,31,0.2421875,0.2421875,0.0950932325672582,0.6275616935306071,0.06403256103708921,0.04834474589913035,0.04270917537820592,-0.00669176838530091,2.396019243044771e-05,1.3235981562441955e-08,0.45574051418812894,1.0381095801458637e-10,5.701303836070901e-07,2,1.476316877626089e-07,37.06472938484512,1.7667123269652794e-10,0.0,0.9932802810076703,1.005409026873672,0.027550583988936055,0.9382371955619763,0.9982801610671783,0.0,6.938893903907228e-18,True
