family,source_level,time_step,step,time,initial_h_rms,exact_radius,control_area_mean_radius,control_area_mean_radius_ratio,area_ratio,volume_ratio,registered_energy_ratio,normalized_surface_centroid_drift,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual
C,4,0.00020000000000000001,0,0,0.075875218725294305,1,0.99999999999999989,0.99999999999999989,1,1,1,0,0.99999999999999978,0.93750343228680921,1,1.8268620098632432e-17
C,4,0.00020000000000000001,1,0.00020000000000000001,0.075875218725294305,0.99999919999968001,0.99999920000000164,0.99999920000000164,0.99999839986483896,0.9999975999884535,0.99999839986483896,4.7207434282978705e-16,0.99999999999713407,0.93750342726483193,0.99999839345426988,2.0071176772730898e-17
C,4,0.00020000000000000001,2,0.00040000000000000002,0.075875218725294305,0.99999839999871998,0.99999839999935836,0.99999839999935836,0.99999679972977262,0.99999519997882558,0.99999679972977251,5.7044793759600911e-16,0.99999999998854383,0.93750342223814542,0.99999678690787175,1.1259386905853852e-17
C,4,0.00020000000000000001,3,0.00060000000000000006,0.075875218725294305,0.99999759999712001,0.99999759999808246,0.99999759999808246,0.99999519959480665,0.99999279997111856,0.99999519959480665,3.7506702987263302e-16,0.99999999997423838,0.93750341720675279,0.99999518036080459,1.9377994703559092e-17
C,4,0.00020000000000000001,4,0.00080000000000000004,0.075875218725294305,0.99999679999488,0.99999679999615931,0.99999679999615931,0.99999359945993638,0.99999039996533035,0.99999359945993638,1.1582176842189113e-15,0.99999999995422773,0.93750341217065636,0.99999357381307197,9.3151313344310458e-18
C,4,0.00020000000000000001,5,0.001,0.075875218725294305,0.99999599999199995,0.99999599999359867,0.99999599999359867,0.99999199932516902,0.99998799996145937,0.99999199932516891,4.3081227221802254e-16,0.99999999992852129,0.93750340712985869,0.99999196726467177,1.4713618815750214e-17
C,4,0.00020000000000000001,6,0.0012000000000000001,0.075875218725294305,0.99999519998847997,0.99999519999040232,0.99999519999040232,0.99999039919049415,0.9999855999595112,0.99999039919049393,7.5961704074949078e-16,0.99999999989712895,0.93750340208436234,0.99999036071560521,4.8553433577876006e-18
C,4,0.00020000000000000001,7,0.0014,0.075875218725294305,0.99999439998431994,0.99999439998656059,0.99999439998656059,0.99998879905592641,0.99998319995947826,0.99998879905592641,3.0034098643653413e-16,0.99999999986006072,0.93750339703417018,0.99998875416587074,8.8851617782455307e-18
C,4,0.00020000000000000001,8,0.0016000000000000001,0.075875218725294305,0.99999359997951986,0.99999359998207837,0.99999359998207837,0.99998719892144772,0.99998079996136602,0.99998719892144761,2.910080193094452e-16,0.99999999981732546,0.93750339197928434,0.99998714761547036,3.3189265665789538e-17
C,4,0.00020000000000000001,9,0.0018000000000000002,0.075875218725294305,0.99999279997407986,0.999992799976957,0.999992799976957,0.99998559878707627,0.99997839996517734,0.99998559878707616,2.3027897523889563e-16,0.9999999997689335,0.93750338691970825,0.99998554106440429,1.8893111260505453e-17
C,4,0.00020000000000000001,10,0.002,0.075875218725294305,0.9999919999679997,0.99999199997119914,0.99999199997119914,0.99998399865280496,0.99997599997090469,0.99998399865280496,1.0576021957345317e-15,0.99999999971489417,0.93750338185544357,0.9999839345126722,1.9748996916186205e-17
C,4,0.00020000000000000001,11,0.0022000000000000001,0.075875218725294305,0.99999119996127972,0.99999119996479768,0.99999119996479768,0.9999823985186207,0.9999735999785514,0.9999823985186207,7.8473373130395114e-16,0.99999999965521713,0.93750337678649331,0.99998232796027442,1.8184764670946363e-17
C,4,0.00020000000000000001,12,0.0024000000000000002,0.075875218725294305,0.99999039995391958,0.99999039995775874,0.99999039995775874,0.9999807983845419,0.99997119998811956,0.9999807983845419,3.4910511046838809e-16,0.99999999958991226,0.93750337171286013,0.99998072140721117,3.9018509116389154e-17
C,4,0.00020000000000000001,13,0.0026000000000000003,0.075875218725294305,0.99998959994591941,0.99998959995007541,0.99998959995007541,0.99997919825055914,0.99996879999960531,0.99997919825055903,7.8881257413827716e-16,0.99999999951898855,0.93750336663454681,0.99997911485348168,1.0154640620915491e-16
C,4,0.00020000000000000001,14,0.0028,0.075875218725294305,0.99998879993727929,0.99998879994175605,0.99998879994175605,0.99997759811667686,0.99996640001301029,0.99997759811667686,8.6822633098087091e-16,0.99999999944245621,0.93750336155155611,0.99997750829908694,2.5268818721901732e-17
C,4,0.00020000000000000001,15,0.0030000000000000001,0.075875218725294305,0.99998799992799914,0.99998799993279675,0.99998799993279675,0.99997599798289249,0.99996400002834096,0.99997599798289249,7.0000793377881185e-16,0.9999999993603248,0.93750335646388971,0.99997590174402684,4.345117790044275e-17
C,4,0.00020000000000000001,16,0.0032000000000000002,0.075875218725294305,0.99998719991807894,0.99998719992319651,0.99998719992319651,0.99997439784920994,0.99996160004558465,0.99997439784920983,5.0508947685886334e-16,0.9999999992726033,0.93750335137154994,0.99997429518830117,3.6694317939948883e-17
C,4,0.00020000000000000001,17,0.0034000000000000002,0.075875218725294305,0.9999863999075187,0.99998639991295379,0.99998639991295379,0.99997279771561898,0.99995920006474781,0.99997279771561887,5.5677234242466067e-16,0.99999999917930182,0.93750334627454124,0.99997268863191113,4.3543954487006882e-17
C,4,0.00020000000000000001,18,0.0036000000000000003,0.075875218725294305,0.99998559989631852,0.99998559990207381,0.99998559990207381,0.99997119758212405,0.9999568000858341,0.99997119758212405,7.7128350940632038e-16,0.99999999908042958,0.93750334117286427,0.99997108207485763,3.6619801370181828e-17
C,4,0.00020000000000000001,19,0.0038,0.075875218725294305,0.9999847998844783,0.99998479989055511,0.99998479989055511,0.99996959744872782,0.99995440010883918,0.99996959744872771,6.8551887822113399e-16,0.99999999897599623,0.93750333606652292,0.99996947551713877,2.6664187463055951e-17
C,4,0.00020000000000000001,20,0.0040000000000000001,0.075875218725294305,0.99998399987199793,0.99998399987839448,0.99998399987839448,0.99996799731543651,0.99995200013376073,0.9999679973154364,9.700965120933538e-16,0.99999999886601143,0.93750333095551908,0.99996786895875645,2.6505555134478798e-17
C,4,0.00020000000000000001,21,0.0042000000000000006,0.075875218725294305,0.99998319985887762,0.99998319986559248,0.99998319986559248,0.99996639718223612,0.99994960016060441,0.99996639718223612,1.184935739094908e-15,0.9999999987504844,0.93750332583985529,0.99996626239970898,9.932798172748563e-18
C,4,0.00020000000000000001,22,0.0044000000000000003,0.075875218725294305,0.99998239984511728,0.99998239985215165,0.99998239985215165,0.99996479704913488,0.99994720018937056,0.99996479704913477,1.0902138903438549e-15,0.99999999862942457,0.93750332071953446,0.99996465583999872,1.8000797854233002e-17
C,4,0.00020000000000000001,23,0.0045999999999999999,0.075875218725294305,0.99998159983071688,0.99998159983807289,0.99998159983807289,0.99996319691613023,0.9999448002200525,0.99996319691613,8.20723197540039e-16,0.99999999850284171,0.93750331559455868,0.99996304927962398,1.9340734364078585e-17
C,4,0.00020000000000000001,24,0.0048000000000000004,0.075875218725294305,0.99998079981567645,0.99998079982335075,0.99998079982335075,0.99996159678322449,0.99994240025265513,0.99996159678322438,6.5681595570376217e-16,0.99999999837074516,0.93750331046493096,0.99996144271858567,2.2670604223772554e-17
C,4,0.00020000000000000001,25,0.0050000000000000001,0.075875218725294305,0.99997999979999597,0.99997999980798513,0.99997999980798513,0.99995999665041835,0.999940000287176,0.99995999665041824,5.3448773186456716e-16,0.99999999823314423,0.93750330533065362,0.99995983615688533,2.0633129599692234e-17
C,4,0.00020000000000000001,26,0.0052000000000000006,0.075875218725294305,0.99997919978367555,0.99997919979198613,0.99997919979198613,0.99995839651770246,0.99993760032361467,0.99995839651770235,4.0774926189301754e-16,0.99999999809004847,0.93750330019172901,0.99995822959452174,3.7942660669368818e-17
C,4,0.00020000000000000001,27,0.0054000000000000003,0.075875218725294305,0.99997839976671499,0.99997839977534841,0.99997839977534841,0.99995679638509027,0.99993520036198258,0.99995679638509016,9.6578597192968719e-17,0.99999999794146732,0.93750329504816043,0.99995662303149591,7.9668366875352757e-18
C,4,0.00020000000000000001,28,0.0055999999999999999,0.075875218725294305,0.99997759974911438,0.99997759975806555,0.99997759975806555,0.99995519625257145,0.99993280040226273,0.99995519625257145,6.6661582931579701e-16,0.99999999778741022,0.93750328989995024,0.9999550164678056,1.1204248708301837e-16
C,4,0.00020000000000000001,29,0.0058000000000000005,0.075875218725294305,0.99997679973087372,0.99997679974014086,0.99997679974014086,0.99995359612015033,0.99993040044446135,0.99995359612015033,7.7388517620311644e-16,0.99999999762788661,0.93750328474710065,0.99995340990345538,2.7688050053523873e-17
C,4,0.00020000000000000001,30,0.0060000000000000001,0.075875218725294305,0.99997599971199302,0.99997599972158102,0.99997599972158102,0.9999519959878268,0.99992800048857944,0.99995199598782669,5.260547310427251e-16,0.99999999746290535,0.93750327958961399,0.99995180333844214,1.2631102353103872e-17
C,4,0.00020000000000000001,31,0.0062000000000000006,0.075875218725294305,0.99997519969247239,0.99997519970238324,0.99997519970238324,0.99995039585559964,0.99992560053462387,0.99995039585559953,4.1654059681331606e-16,0.99999999729247635,0.93750327442749393,0.99995019677276609,1.159092505787901e-18
C,4,0.00020000000000000001,32,0.0064000000000000003,0.075875218725294305,0.99997439967231161,0.99997439968253721,0.99997439968253721,0.99994879572346529,0.99992320058258044,0.99994879572346518,1.3643716290516909e-16,0.99999999711660881,0.93750326926074212,0.9999485902064289,2.7126393777393107e-17
C,4,0.00020000000000000001,33,0.0066,0.075875218725294305,0.99997359965151078,0.99997359966205857,0.99997359966205857,0.99994719559143075,0.99992080063246258,0.99994719559143064,7.2758441715897126e-16,0.99999999693531239,0.93750326408936113,0.99994698363942891,2.6374593138372344e-17
C,4,0.00020000000000000001,34,0.0068000000000000005,0.075875218725294305,0.99997279963006991,0.99997279964093766,0.99997279964093766,0.99994559545949202,0.9999184006842553,0.99994559545949202,8.0048270281405751e-16,0.99999999674859585,0.93750325891335351,0.99994537707176778,2.3922991067405078e-17
C,4,0.00020000000000000001,35,0.0070000000000000001,0.075875218725294305,0.9999719996079891,0.9999719996191746,0.9999719996191746,0.9999439953276501,0.9999160007379746,0.99994399532764999,2.5411812328961429e-16,0.99999999655646865,0.93750325373272214,0.99994377050344496,1.8445151106875139e-17
C,4,0.00020000000000000001,36,0.0072000000000000007,0.075875218725294305,0.99997119958526803,0.99997119959677017,0.99997119959677017,0.99994239519590378,0.99991360079361713,0.99994239519590378,5.8906047683494506e-16,0.99999999635894021,0.9375032485474698,0.99994216393446234,1.9740598205188119e-17
C,4,0.00020000000000000001,37,0.0074000000000000003,0.075875218725294305,0.99997039956190703,0.99997039957373168,0.99997039957373168,0.99994079506425404,0.99991120085117158,0.99994079506425404,4.7411214590463505e-16,0.99999999615601998,0.9375032433575986,0.99994055736481846,3.1158152055476212e-17
