family,source_level,vertex_count,face_count,initial_h_rms,surface_area,dual_area_sum,dual_area_to_surface_area_ratio,homogeneity_force_contraction,exact_homogeneity_force_contraction,normalized_homogeneity_residual,mean_radial_velocity,exact_mean_radial_velocity,normalized_mean_radial_velocity_residual,normalized_net_force_residual,maximum_relative_radius_deviation,maximum_position_displacement,position_hash_before,position_hash_after,state_hash_before,state_hash_after,maximum_force_buffer_norm_after,force_buffers_cleared,passed
C,1,42,80,0.58464658336226838,11.651063084428785,11.651063084428783,0.99999999999999989,-0.46604252337715124,-0.46604252337715141,3.5733531886103011e-16,-0.0040000000000000001,-0.0040000000000000001,0,5.3303039072845886e-17,2.2204460492503131e-16,0,8803328300822511666,8803328300822511666,16614227130790738788,16614227130790738788,0,1,1
C,2,162,320,0.30075874473072661,12.325378745635001,12.325378745635005,1.0000000000000002,-0.49301514982539968,-0.49301514982540007,7.8816656801807944e-16,-0.0039999999999999992,-0.0040000000000000001,2.1684043449710089e-16,7.375992710396884e-17,2.2204460492503131e-16,0,17144490565867495074,17144490565867495074,4318714557311313025,4318714557311313025,0,1,1
C,3,642,1280,0.1514741410305466,12.50532101304545,12.505321013045466,1.0000000000000013,-0.50021284052181902,-0.50021284052181803,1.9975511246778127e-15,-0.0039999999999999949,-0.0040000000000000001,1.3010426069826053e-15,3.3282590028655809e-16,2.2204460492503131e-16,0,15191240766261601258,15191240766261601258,9990746920616261925,9990746920616261925,0,1,1
C,4,2562,5120,0.075875218725294305,12.551057433430797,12.55105743343085,1.0000000000000042,-0.50204229733723404,-0.50204229733723194,4.2016853121259122e-15,-0.004000000000000007,-0.0040000000000000001,1.7347234759768071e-15,2.2129905479438756e-16,3.3306690738754696e-16,0,8692506637512859998,8692506637512859998,14370636601108913137,14370636601108913137,0,1,1
