family,source_level,initial_h_rms,exact_mean_radius_response,response_dt_4e_4,response_dt_2e_4,response_dt_1e_4,response_dt_5e_5,difference_4e_4_to_2e_4,difference_2e_4_to_1e_4,difference_1e_4_to_5e_5,observed_order_0,observed_order_1,richardson_response,richardson_error,area_ratio_dt_4e_4,area_ratio_dt_2e_4,area_ratio_dt_1e_4,area_ratio_dt_5e_5,volume_ratio_dt_4e_4,volume_ratio_dt_2e_4,volume_ratio_dt_1e_4,volume_ratio_dt_5e_5,registered_energy_ratio_dt_4e_4,registered_energy_ratio_dt_2e_4,registered_energy_ratio_dt_1e_4,registered_energy_ratio_dt_5e_5,common_roundoff_plateau,differences_strictly_decreased,time_orders_passed,richardson_passed,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual,maximum_normalized_centroid_drift,maximum_normalized_positive_energy_residual,maximum_valence_five_excursion_error,maximum_closed_one_ring_excursion_error,maximum_valence_five_error_over_initial_h,maximum_closed_one_ring_error_over_initial_h,maximum_closed_one_ring_edge_scaling_error,minimum_local_triangle_quality_ratio,force_buffers_cleared,readonly_controls_passed,passed
C,1,0.58464658336226838,0.99991999679974397,0.99991999685634381,0.99991999682417765,0.99991999680809573,0.99991999680005383,3.2166158625557273e-11,1.608191357860278e-11,8.0419004788723214e-12,1.0001045732496145,0.99983069472756214,0.99991999679201193,7.7320372326994402e-12,0.99983935932394463,0.99983935926114542,0.99983935922974643,0.9998393592140461,0.99975979157936734,0.99975979148291327,0.99975979143468685,0.99975979141057258,0.99983935932394463,0.99983935926114531,0.99983935922974643,0.99983935921404599,0,1,1,1,0.99999999963499753,0.95460619862409557,0.99982762082227061,1.0819331721066333e-16,1.8690926148238974e-16,1.3274575598449844e-10,0.10956703337520093,0.10956703337520093,1.7668545210129069e-05,1.7668545210129069e-05,8.1159777063355421e-06,0.99999589738042227,1,1,1
C,4,0.075875218725294305,0.99991999679974397,0.99991999686362831,0.99991999683161858,0.99991999681561727,0.99991999680761434,3.2009728201387588e-11,1.6001311387014994e-11,8.0029316507079784e-12,1.0003202808426219,0.99958965297993219,0.99991999679961141,1.3256062914024369e-13,0.99983998702211607,0.99983998696036536,0.9998399869294915,0.99983998691405762,0.99976000844335933,0.99976000834733836,0.99976000829933287,0.99976000827532752,0.99983998702211585,0.99983998696036525,0.99983998692949128,0.9998399869140574,0,1,1,1,0.99999997288363007,0.93750290702806216,0.99983934208002201,1.1204248708301837e-16,1.6882136130237922e-15,1.3279069896530188e-10,0.14907345589013393,0.14907345589013393,0.00018538803595970958,0.00018538803595970958,4.8477198743013261e-06,0.99999943972605432,1,1,1
