t_over_T,T16_axial_shortening,T16_maximum_discrete_interface_traction,T16_p95_discrete_interface_traction,T16_total_stored_energy,T16_ecm_equilibrium_energy,T16_ecm_viscoelastic_energy,T16_ecm_internal_z_norm,T32_axial_shortening,T32_maximum_discrete_interface_traction,T32_p95_discrete_interface_traction,T32_total_stored_energy,T32_ecm_equilibrium_energy,T32_ecm_viscoelastic_energy,T32_ecm_internal_z_norm,T64_axial_shortening,T64_maximum_discrete_interface_traction,T64_p95_discrete_interface_traction,T64_total_stored_energy,T64_ecm_equilibrium_energy,T64_ecm_viscoelastic_energy,T64_ecm_internal_z_norm
0.0,2.2002151390476676e-05,0.002377325904800655,0.0021877412897247433,-0.018618516702129502,1.4181837811365082e-06,5.151695234596455e-06,0.4752198197379468,2.2130633558270496e-05,0.0023946603787432866,0.0022035913054938745,-0.018618417007476788,1.4391609839309707e-06,5.225818684088549e-06,0.47866284982832213,2.2186354016073828e-05,0.002402123306483119,0.0022104604857116936,-0.01861837272651103,1.448112182190219e-06,5.259147576509426e-06,0.48017478500698946
0.000244140625,4.3927009043959186e-05,0.002375562237183122,0.0021855339230068176,-0.01861824675069989,1.421045632304252e-06,5.147630495878945e-06,0.47518067964730776,3.329226842298163e-05,0.002386698347359103,0.0021962958281753803,-0.01861838563482791,1.440349595504753e-06,5.2231696136509465e-06,0.47862051163932356,2.7863820275114692e-05,0.0023980069691273485,0.0022066699400060384,-0.01861837079206625,1.4485643209998326e-06,5.257313224428486e-06,0.48013152673567333
0.00048828125,6.58518666974417e-05,0.0023737985695655895,0.0021833265562888923,-0.018617976799270273,1.4239074834719957e-06,5.143565757161434e-06,0.4751415395566687,4.445390328769276e-05,0.002378736315974919,0.0021890003508568865,-0.018618354262179032,1.4415382070785355e-06,5.220520543213344e-06,0.478578173450325,3.3541286534155557e-05,0.0023938906317715774,0.0022028793943003827,-0.018618368857621477,1.4490164598094462e-06,5.255478872347547e-06,0.48008826846435715
0.000732421875,8.77767243509242e-05,0.0023720349019480565,0.0021811191895709666,-0.01861770684784066,1.4267693346397396e-06,5.139501018443924e-06,0.4751023994660296,5.5615538152403894e-05,0.0023707742845907355,0.0021817048735383923,-0.018618322889530154,1.442726818652318e-06,5.217871472775742e-06,0.4785358352613265,3.921875279319642e-05,0.0023897742944158067,0.0021990888485947276,-0.0186183669231767,1.4494685986190596e-06,5.2536445202666075e-06,0.480045010193041
0.0009765625,0.00010970158200440672,0.0023702712343305235,0.002178911822853041,-0.018617436896411044,1.4296311858074833e-06,5.135436279726414e-06,0.47506325937539057,6.677717301711503e-05,0.002362812253206552,0.002174409396219898,-0.018618291516881276,1.4439154302261003e-06,5.215222402338139e-06,0.4784934970723279,4.4896219052237285e-05,0.0023856579570600356,0.002195298302889072,-0.01861836498873192,1.4499207374286732e-06,5.251810168185668e-06,0.48000175192172484
0.001220703125,0.00013162643965788923,0.0023685075667129905,0.0021767044561351156,-0.01861716694498143,1.4324930369752271e-06,5.131371541008903e-06,0.4750241192847515,7.793880788182616e-05,0.002354850221822368,0.002167113918901404,-0.018618260144232398,1.4451040417998825e-06,5.212573331900536e-06,0.47845115888332934,5.057368531127815e-05,0.002381541619704265,0.0021915077571834168,-0.018618363054287143,1.4503728762382869e-06,5.249975816104729e-06,0.4799584936504087
0.00146484375,0.00015355129731137174,0.002366743899095458,0.00217449708941719,-0.018616896993551818,1.435354888142971e-06,5.127306802291393e-06,0.4749849791941125,8.910044274653729e-05,0.0023468881904381844,0.00215981844158291,-0.01861822877158352,1.446292653373665e-06,5.209924261462934e-06,0.47840882069433077,5.6251151570319013e-05,0.0023774252823484943,0.002187717211477761,-0.01861836111984237,1.4508250150479005e-06,5.248141464023789e-06,0.47991523537909253
0.001708984375,0.00017547615496485425,0.002364980231477925,0.002172289722699264,-0.018616627042122202,1.4382167393107147e-06,5.123242063573883e-06,0.4749458391034734,0.00010026207761124842,0.0023389261590540007,0.0021525229642644157,-0.018618197398934645,1.4474812649474473e-06,5.207275191025331e-06,0.47836648250533226,6.192861782935988e-05,0.002373308944992723,0.002183926665772106,-0.01861835918539759,1.4512771538575141e-06,5.24630711194285e-06,0.4798719771077764
0.001953125,0.00019740101261833676,0.002363216563860392,0.002170082355981339,-0.01861635709069259,1.4410785904784585e-06,5.119177324856373e-06,0.47490669901283433,0.00011142371247595956,0.002330964127669817,0.002145227486945922,-0.018618166026285767,1.4486698765212298e-06,5.204626120587729e-06,0.4783241443163337,6.760608408840074e-05,0.0023691926076369525,0.0021801361200664508,-0.018618357250952813,1.4517292926671278e-06,5.2444727598619106e-06,0.4798287188364603
0.002197265625,0.00021932587027181927,0.0023614528962428594,0.002167874989263413,-0.018616087139262973,1.4439404416462022e-06,5.115112586138862e-06,0.4748675589221953,0.0001225853473406707,0.0023230020962856333,0.0021379320096274277,-0.01861813465363689,1.4498584880950122e-06,5.201977050150126e-06,0.4782818061273351,7.32835503474416e-05,0.0023650762702811814,0.002176345574360795,-0.018618355316508038,1.4521814314767412e-06,5.242638407780971e-06,0.4797854605651441
0.00244140625,0.00024125072792530178,0.0023596892286253265,0.0021656676225454874,-0.01861581718783336,1.446802292813946e-06,5.111047847421352e-06,0.47482841883155624,0.00013374698220538182,0.0023150400649014496,0.002130636532308934,-0.01861810328098801,1.4510470996687946e-06,5.1993279797125236e-06,0.47823946793833655,7.896101660648247e-05,0.0023609599329254107,0.00217255502865514,-0.01861835338206326,1.4526335702863548e-06,5.240804055700032e-06,0.47974220229382797
0.002685546875,0.0002631755855787843,0.0023579255610077935,0.0021634602558275617,-0.018615547236403747,1.44966414398169e-06,5.106983108703842e-06,0.47478927874091714,0.00014490861707009296,0.002307078033517266,0.0021233410549904397,-0.018618071908339133,1.452235711242577e-06,5.196678909274921e-06,0.47819712974933803,8.463848286552333e-05,0.00235684359556964,0.0021687644829494843,-0.018618351447618482,1.4530857090959685e-06,5.238969703619092e-06,0.4796989440225118
0.0029296875,0.0002851004432322668,0.0023561618933902605,0.0021612528891096364,-0.01861527728497413,1.4525259951494336e-06,5.102918369986331e-06,0.4747501386502781,0.0001560702519348041,0.0022991160021330823,0.0021160455776719454,-0.018618040535690255,1.4534243228163594e-06,5.194029838837319e-06,0.47815479156033946,9.03159491245642e-05,0.002352727258213869,0.002164973937243829,-0.018618349513173704,1.453537847905582e-06,5.2371353515381525e-06,0.47965568575119566
0.003173828125,0.0003070253008857493,0.002354398225772728,0.0021590455223917107,-0.018615007333544518,1.4553878463171774e-06,5.098853631268821e-06,0.47471099855963905,0.00016723188679951522,0.0022911539707488986,0.0021087501003534516,-0.018618009163041377,1.4546129343901418e-06,5.191380768399716e-06,0.4781124533713409,9.599341538360506e-05,0.002348610920858098,0.0021611833915381735,-0.01861834757872893,1.4539899867151957e-06,5.2353009994572136e-06,0.47961242747987953
0.00341796875,0.0003289501585392318,0.002352634558155195,0.002156838155673785,-0.0186147373821149,1.458249697484921e-06,5.094788892551311e-06,0.474671858469,0.00017839352166422635,0.002283191939364715,0.0021014546230349574,-0.0186179777903925,1.455801545963924e-06,5.1887316979621135e-06,0.4780701151823423,0.00010167088164264593,0.002344494583502327,0.0021573928458325183,-0.018618345644284152,1.4544421255248091e-06,5.233466647376274e-06,0.47956916920856335
0.003662109375,0.00035087501619271433,0.002350870890537662,0.0021546307889558597,-0.01861446743068529,1.461111548652665e-06,5.0907241538338e-06,0.4746327183783609,0.0001895551565289375,0.002275229907980531,0.002094159145716463,-0.01861794641774362,1.4569901575377064e-06,5.186082627524511e-06,0.4780277769933438,0.00010734834790168679,0.0023403782461465564,0.0021536023001268627,-0.018618343709839374,1.4548942643344228e-06,5.231632295295334e-06,0.4795259109372472
0.00390625,0.00037279987384619684,0.002349107222920129,0.002152423422237934,-0.018614197479255676,1.4639733998204086e-06,5.08665941511629e-06,0.47459357828772186,0.00020071679139364862,0.0022672678765963475,0.0020868636683979693,-0.018617915045094743,1.4581787691114888e-06,5.183433557086908e-06,0.47798543880434524,0.00011302581416072766,0.0023362619087907857,0.0021498117544212075,-0.0186183417753946,1.4553464031440364e-06,5.229797943214395e-06,0.47948265266593104
0.004150390625,0.00039472473149967935,0.0023473435553025964,0.0021502160555200082,-0.01861392752782606,1.4668352509881525e-06,5.08259467639878e-06,0.4745544381970828,0.00021187842625835975,0.002259305845212164,0.002079568191079475,-0.018617883672445865,1.4593673806852713e-06,5.180784486649306e-06,0.47794310061534667,0.00011870328041976852,0.0023321455714350146,0.0021460212087155523,-0.01861833984094982,1.45579854195365e-06,5.2279635911334555e-06,0.4794393943946149
0.00439453125,0.00041664958915316186,0.0023455798876850635,0.002148008688802083,-0.018613657576396447,1.4696971021558964e-06,5.07852993768127e-06,0.4745152981064438,0.00022304006112307088,0.00225134381382798,0.002072272713760981,-0.018617852299796987,1.4605559922590537e-06,5.178135416211703e-06,0.4779007624263481,0.00012438074667880938,0.002328029234079244,0.0021422306630098967,-0.018618337906505043,1.4562506807632637e-06,5.226129239052516e-06,0.47939613612329873
0.004638671875,0.00043857444680664437,0.0023438162200675305,0.0021458013220841572,-0.01861338762496683,1.47255895332364e-06,5.074465198963759e-06,0.47447615801580467,0.00023420169598778202,0.0022433817824437964,0.002064977236442487,-0.01861782092714811,1.461744603832836e-06,5.175486345774101e-06,0.47785842423734953,0.00013005821293785025,0.002323912896723473,0.0021384401173042415,-0.018618335972060265,1.456702819572877e-06,5.224294886971577e-06,0.4793528778519826
0.0048828125,0.0004604993044601269,0.002342052552449998,0.0021435939553662315,-0.018613117673537218,1.4754208044913839e-06,5.070400460246249e-06,0.4744370179251656,0.00024536333085249315,0.0022354197510596127,0.002057681759123993,-0.018617789554499234,1.4629332154066185e-06,5.172837275336498e-06,0.477816086048351,0.0001357356791968911,0.002319796559367702,0.002134649571598586,-0.01861833403761549,1.4571549583824907e-06,5.222460534890637e-06,0.4793096195806665
0.005126953125,0.0004824241621136094,0.002340288884832465,0.002141386588648306,-0.018612847722107605,1.4782826556591276e-06,5.066335721528739e-06,0.4743978778345266,0.0002565249657172043,0.002227457719675429,0.0020503862818054986,-0.018617758181850356,1.464121826980401e-06,5.170188204898895e-06,0.47777374785935245,0.00014141314545593198,0.002315680222011931,0.0021308590258929307,-0.018618332103170713,1.4576070971921044e-06,5.220626182809698e-06,0.4792663613093503
0.00537109375,0.0005043490197670919,0.002338525217214932,0.0021391792219303805,-0.01861257777067799,1.4811445068268714e-06,5.062270982811228e-06,0.47435873774388754,0.0002676866005819154,0.0022194956882912453,0.002043090804487005,-0.018617726809201478,1.4653104385541833e-06,5.167539134461293e-06,0.4777314096703539,0.00014709061171497284,0.0023115638846561604,0.002127068480187275,-0.018618330168725935,1.458059236001718e-06,5.2187918307287585e-06,0.47922310303803417
0.005615234375,0.0005262738774205744,0.002336761549597399,0.0021369718552124548,-0.018612307819248376,1.4840063579946153e-06,5.058206244093718e-06,0.47431959765324844,0.00027884823544662655,0.0022115336569070616,0.0020357953271685106,-0.0186176954365526,1.4664990501279655e-06,5.1648900640236905e-06,0.4776890714813553,0.0001527680779740137,0.0023074475473003897,0.00212327793448162,-0.018618328234281157,1.4585113748113316e-06,5.216957478647819e-06,0.479179844766718
0.005859375,0.0005481987350740569,0.0023349978819798664,0.0021347644884945295,-0.01861203786781876,1.486868209162359e-06,5.054141505376208e-06,0.4742804575626094,0.0002900098703113377,0.002203571625522878,0.0020284998498500163,-0.01861766406390372,1.467687661701748e-06,5.162240993586088e-06,0.4776467332923568,0.00015844554423305457,0.0023033312099446186,0.0021194873887759643,-0.018618326299836382,1.458963513620945e-06,5.21512312656688e-06,0.47913658649540186
0.006103515625,0.0005701235927275394,0.0023332342143623334,0.0021325571217766038,-0.018611767916389146,1.4897300603301028e-06,5.050076766658697e-06,0.47424131747197035,0.0003011715051760488,0.0021956095941386942,0.0020212043725315225,-0.018617632691254844,1.4688762732755303e-06,5.159591923148485e-06,0.4776043951033582,0.00016412301049209543,0.002299214872588848,0.002115696843070309,-0.018618324365391604,1.4594156524305587e-06,5.21328877448594e-06,0.4790933282240857
0.00634765625,0.0005920484503810219,0.0023314705467448005,0.002130349755058678,-0.018611497964959534,1.4925919114978465e-06,5.046012027941187e-06,0.4742021773813313,0.00031233314004075995,0.0021876475627545106,0.0020139088952130283,-0.018617601318605966,1.4700648848493127e-06,5.156942852710882e-06,0.47756205691435966,0.0001698004767511363,0.002295098535233077,0.002111906297364654,-0.018618322430946826,1.4598677912401723e-06,5.211454422405e-06,0.47905006995276955
0.006591796875,0.0006139733080345045,0.002329706879127268,0.0021281423883407523,-0.018611228013529917,1.4954537626655903e-06,5.041947289223677e-06,0.4741630372906922,0.0003234947749054711,0.002179685531370327,0.0020066134178945345,-0.018617569945957087,1.4712534964230952e-06,5.15429378227328e-06,0.4775197187253611,0.00017547794301017716,0.002290982197877306,0.0021081157516589983,-0.018618320496502052,1.460319930049786e-06,5.2096200703240615e-06,0.4790068116814534
