qoi,dt_response,dt_half_response,exact_final_value,exact_excursion,absolute_time_difference,excursion_normalized_time_difference,absolute_space_proxy,excursion_normalized_space_proxy,roundoff_plateau,passed
mean_radius_ratio,0.99991999681561727,0.99991999680761434,0.99991999679974397,8.0003200255918117e-05,8.0029316507079784e-12,1.0003264400808734e-07,7.8703710215677347e-12,9.8375702426798062e-08,1,1
area_ratio,0.9998399869294915,0.99983998691405762,0.99983999999999995,0.00016000000000004899,1.5433876399129076e-11,9.6461727494527186e-08,1.3085942329738032e-08,8.1787139560837653e-05,0,1
volume_ratio,0.99976000829933287,0.99976000827532752,0.99976000960025602,0.0002399903997439834,2.4005353260747597e-11,1.0002630641207312e-07,1.3249285002459033e-09,5.5207562538306058e-06,0,1
energy_ratio,0.99983998692949128,0.9998399869140574,0.99983999999999995,0.00016000000000004899,1.5433876399129076e-11,9.6461727494527186e-08,1.3085942551782637e-08,8.1787140948616434e-05,0,1
