run,source_level,time_step,step,time,initial_h_rms,exact_radius,control_area_mean_radius,control_area_mean_radius_ratio,area_ratio,volume_ratio,registered_energy_ratio,normalized_surface_centroid_drift,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual
C,3,0.0001,0,0,0.1514741410305466,1,0.99999999999999989,0.99999999999999989,1,1,1,0,0.99999999999999978,0.93855760095940666,1,2.5539814848930484e-17
C,3,0.0001,1,0.0001,0.1514741410305466,0.99999959999991994,0.99999960000000132,0.99999960000000132,0.9999991997234795,0.99999879995179264,0.99999919972347928,5.0031559309625245e-16,0.9999999999998207,0.93855758562321268,0.99999919420603856,1.9836365413444737e-17
C,3,0.0001,2,0.00020000000000000001,0.1514741410305466,0.99999919999968001,0.99999919999983966,0.99999919999983966,0.99999839944697977,0.999997599904067,0.99999839944697977,1.0128748091254357e-16,0.99999999999928268,0.93855757028798126,0.99999838841093391,1.8471308518848917e-17
C,3,0.0001,3,0.00030000000000000003,0.1514741410305466,0.99999879999927999,0.99999879999951946,0.99999879999951946,0.99999759917050768,0.99999639985681688,0.99999759917050768,4.494651074749074e-16,0.99999999999838607,0.93855755495371418,0.99999758261468641,1.6759203761994589e-17
C,3,0.0001,4,0.00040000000000000002,0.1514741410305466,0.99999839999871998,0.99999839999903983,0.99999839999903983,0.99999679889405879,0.99999519981004703,0.99999679889405868,2.3489433133751856e-16,0.99999999999713118,0.93855753962040978,0.99999677681729682,6.8274692410882658e-17
C,3,0.0001,5,0.00050000000000000001,0.1514741410305466,0.99999799999799999,0.99999799999840111,0.99999799999840111,0.99999599861763278,0.99999399976375936,0.99999599861763255,2.3407326363650661e-16,0.99999999999551792,0.93855752428806882,0.99999597101876436,9.7328880639044522e-18
C,3,0.0001,6,0.00060000000000000006,0.1514741410305466,0.99999759999712001,0.99999759999759918,0.99999759999759918,0.99999519834123241,0.99999279971794885,0.99999519834123218,5.3619462191220984e-17,0.99999999999354605,0.93855750895669088,0.99999516521908971,4.375253395868187e-18
C,3,0.0001,7,0.00069999999999999999,0.1514741410305466,0.99999719999607994,0.99999719999663927,0.99999719999663927,0.9999943980648589,0.99999159967261975,0.99999439806485868,3.7085428971613897e-16,0.99999999999121614,0.93855749362627627,0.99999435941827342,4.2185810548888694e-17
C,3,0.0001,8,0.00080000000000000004,0.1514741410305466,0.99999679999488,0.99999679999552238,0.99999679999552238,0.99999359778850661,0.99999039962776937,0.99999359778850672,1.9020785748017514e-16,0.99999999998852818,0.93855747829682445,0.99999355361631392,6.1773136889489784e-18
C,3,0.0001,9,0.00090000000000000008,0.1514741410305466,0.99999639999351997,0.99999639999423906,0.99999639999423906,0.99999279751217973,0.99998919958339838,0.99999279751217951,2.8085392292063005e-16,0.99999999998548184,0.93855746296833598,0.99999274781321268,1.0619056607855315e-17
C,3,0.0001,10,0.001,0.1514741410305466,0.99999599999199995,0.99999599999279976,0.99999599999279976,0.99999199723587651,0.99998799953950746,0.9999919972358764,1.0470134005683661e-16,0.99999999998207778,0.93855744764080973,0.99999194200896968,3.9606550386488487e-17
C,3,0.0001,11,0.0011000000000000001,0.1514741410305466,0.99999559999031995,0.99999559999119836,0.99999559999119836,0.99999119695960004,0.99998679949609404,0.99999119695959982,2.8305052689418356e-16,0.99999999997831557,0.93855743231424649,0.99999113620358493,1.5058625450985668e-17
C,3,0.0001,12,0.0012000000000000001,0.1514741410305466,0.99999519998847997,0.99999519998943753,0.99999519998943753,0.99999039668334433,0.99998559945316701,0.99999039668334422,2.9611289615887351e-16,0.99999999997419542,0.93855741698864614,0.99999033039705731,4.9634292913512698e-18
C,3,0.0001,13,0.0013000000000000002,0.1514741410305466,0.99999479998648,0.9999947999875175,0.9999947999875175,0.99998959640711749,0.99998439941071171,0.99998959640711738,2.0052848473532107e-16,0.99999999996971756,0.93855740166400836,0.99998952458938828,1.8384500589599235e-17
C,3,0.0001,14,0.0014,0.1514741410305466,0.99999439998431994,0.99999439998543715,0.99999439998543715,0.99998879613091274,0.99998319936873803,0.99998879613091274,2.0024330286606858e-16,0.99999999996488209,0.93855738634033326,0.99998871878057805,1.8398285586923593e-17
C,3,0.0001,15,0.0015,0.1514741410305466,0.99999399998199989,0.99999399998319771,0.99999399998319771,0.99998799585473286,0.99998199932724408,0.99998799585473286,1.9546437952652477e-16,0.9999999999596888,0.93855737101762038,0.99998791297062606,3.5944944052224904e-17
