qoi,exact_final_value,reported_finest_excursion,level_1_response,level_2_response,level_3_response,level_4_response,level_1_excursion,level_2_excursion,level_3_excursion,level_4_excursion,level_1_analytic_error,level_2_analytic_error,level_3_analytic_error,level_4_analytic_error,analytic_order_1_2,analytic_order_2_3,analytic_order_3_4,difference_excursion_1_2,difference_excursion_2_3,difference_excursion_3_4,adjacent_difference_1_2,adjacent_difference_2_3,adjacent_difference_3_4,generalized_order_1_2_3,generalized_order_2_3_4,analytic_roundoff_plateau,analytic_errors_monotonic,analytic_orders_passed,finest_error_passed,self_convergence_roundoff_plateau,self_convergence_monotonic,self_convergence_orders_passed,passed
mean_radius_ratio,0.99991999679974397,8.0003200255918117e-05,0.99991999680809573,0.99991999681331711,0.99991999681519406,0.99991999681561727,8.000320025558505e-05,8.0003200256029139e-05,8.0003200255918117e-05,8.0003200255918117e-05,1.0439287051472873e-07,1.6965749578041943e-07,1.9311834533951291e-07,1.984083464348854e-07,-0.73058665034517345,-0.1888361880551532,-0.039090270929349559,8.000320025558505e-05,8.0003200256029139e-05,8.0003200255918117e-05,6.5264625266632444e-08,2.3460849558825503e-08,5.2900010953724672e-09,1.5657957979615276,2.1765990855833479,0,0,0,1,0,1,1,0
area_ratio,0.99983999999999995,0.00016000000000004899,0.99983935922974643,0.99983978447881861,0.99983994517875696,0.9998399869294915,0.00016000000000004899,0.00016000000000004899,0.00016000000000004899,0.00016000000000004899,0.0040048140845226846,0.0013470073834116786,0.00034263276868496453,8.1690677833343124e-05,1.6392556800272391,1.995909592313835,2.0738722984581583,0.00016000000000004899,0.00016000000000004899,0.00016000000000004899,0.002657806701111006,0.0010043746147267141,0.00026094209085162137,1.4913944569775595,1.9704701430205205,0,1,1,1,0,1,1,1
volume_ratio,0.99976000960025602,0.0002399903997439834,0.99975979143468685,0.99975994901187826,0.99975999990265751,0.99976000829933287,0.0002399903997439834,0.0002399903997439834,0.0002399903997439834,0.0002399903997439834,0.00090905956820979837,0.00025246167273351879,4.0408276799180734e-05,5.4207299474185325e-06,1.9274152351545766,2.6712963350900178,2.905731394812876,0.0002399903997439834,0.0002399903997439834,0.0002399903997439834,0.00065659789547627969,0.00021205339593433805,3.4987546851762206e-05,1.7253079700644776,2.6310735478077731,0,1,1,1,0,1,1,1
energy_ratio,0.99983999999999995,0.00016000000000004899,0.99983935922974643,0.99983978447881861,0.99983994517875696,0.99983998692949128,0.00016000000000004899,0.00016000000000004899,0.00016000000000004899,0.00016000000000004899,0.0040048140845226846,0.0013470073834116786,0.00034263276868496453,8.1690679221121904e-05,1.6392556800272391,1.995909592313835,2.0738722738847377,0.00016000000000004899,0.00016000000000004899,0.00016000000000004899,0.002657806701111006,0.0010043746147267141,0.00026094208946384259,1.4913944569775595,1.9704701507566824,0,1,1,1,0,1,1,1
