run,source_level,time_step,step,time,initial_h_rms,exact_radius,control_area_mean_radius,control_area_mean_radius_ratio,area_ratio,volume_ratio,registered_energy_ratio,normalized_surface_centroid_drift,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual
C,2,0.0001,0,0,0.30075874473072661,1,1,1,1,1,1,0,0.99999999999999978,0.94198378952304651,1,3.8224378804097051e-17
C,2,0.0001,1,0.0001,0.30075874473072661,0.99999959999991994,0.9999996000000001,0.9999996000000001,0.99999919892011091,0.99999879969743222,0.99999919892011091,4.7783044188425488e-17,0.9999999999999567,0.94198377335247263,0.99999916467845584,9.9630706189452503e-18
C,2,0.0001,2,0.00020000000000000001,0.30075874473072661,0.99999919999968001,0.99999919999984033,0.99999919999984033,0.9999983978402448,0.99999759939534305,0.9999983978402448,1.0058687976073219e-16,0.99999999999982692,0.94198375718210403,0.99999832935775901,1.2901151574765137e-17
C,2,0.0001,3,0.00030000000000000003,0.30075874473072661,0.99999879999927999,0.99999879999952068,0.99999879999952068,0.99999759676040112,0.99999639909373228,0.99999759676040112,7.8120552237027978e-17,0.99999999999961064,0.94198374101194127,0.99999749403790938,8.7059806446044155e-18
C,2,0.0001,4,0.00040000000000000002,0.30075874473072661,0.99999839999871998,0.99999839999903983,0.99999839999903983,0.9999967956805812,0.99999519879260135,0.9999967956805812,1.0557343454859441e-16,0.99999999999930766,0.94198372484198367,0.99999665871890664,8.2287389541422285e-18
C,2,0.0001,5,0.00050000000000000001,0.30075874473072661,0.99999799999799999,0.999997999998399,0.999997999998399,0.99999599460078425,0.99999399849194792,0.99999599460078425,6.6931833469936025e-17,0.99999999999891853,0.94198370867223213,0.99999582340075144,1.3452997191869921e-17
C,2,0.0001,6,0.00060000000000000006,0.30075874473072661,0.99999759999712001,0.99999759999759796,0.99999759999759796,0.99999519352100918,0.99999279819177411,0.99999519352100918,1.0593407222914443e-16,0.99999999999844247,0.9419836925026861,0.99999498808344334,2.6305432500376631e-17
C,2,0.0001,7,0.00069999999999999999,0.30075874473072661,0.99999719999607994,0.99999719999663828,0.99999719999663828,0.99999439244125765,0.99999159789207814,0.99999439244125765,1.892521334788533e-16,0.99999999999788025,0.94198367633334568,0.99999415276698222,1.5781012857068605e-17
C,2,0.0001,8,0.00080000000000000004,0.30075874473072661,0.99999679999488,0.99999679999551749,0.99999679999551749,0.99999359136152932,0.99999039759286146,0.99999359136152932,6.0576002605362711e-17,0.99999999999723133,0.9419836601642112,0.99999331745136799,2.1664206802993391e-17
C,2,0.0001,9,0.00090000000000000008,0.30075874473072661,0.99999639999351997,0.9999963999942364,0.9999963999942364,0.99999279028182353,0.99998919729412206,0.99999279028182353,1.5684546974808467e-16,0.9999999999964958,0.94198364399528167,0.9999924821366013,2.253020018108496e-18
C,2,0.0001,10,0.001,0.30075874473072661,0.99999599999199995,0.99999599999279487,0.99999599999279487,0.99999198920214238,0.99998799699586194,0.99999198920214238,7.1978704454044035e-17,0.9999999999956739,0.94198362782655831,0.99999164682268171,7.3980897134200595e-17
C,2,0.0001,11,0.0011000000000000001,0.30075874473072661,0.99999559999031995,0.9999955999911937,0.9999955999911937,0.99999118812248233,0.99998679669808155,0.99999118812248233,1.771999405131243e-16,0.99999999999476552,0.94198361165804001,0.999990811509609,2.7052397925166547e-17
C,2,0.0001,12,0.0012000000000000001,0.30075874473072661,0.99999519998847997,0.99999519998943331,0.99999519998943331,0.99999038704284637,0.99998559640077922,0.99999038704284637,5.740646797350476e-17,0.99999999999377087,0.94198359548972765,0.99998997619738283,9.3788773912650241e-18
C,2,0.0001,13,0.0013000000000000002,0.30075874473072661,0.99999479998648,0.99999479998751184,0.99999479998751184,0.99998958596323306,0.99998439610395451,0.99998958596323317,9.7000803164442825e-17,0.99999999999268951,0.94198357932162113,0.9999891408860041,5.7532209659660634e-17
C,2,0.0001,14,0.0014,0.30075874473072661,0.99999439998431994,0.99999439998542961,0.99999439998542961,0.99998878488364307,0.99998319580760897,0.99998878488364318,7.3896413986528548e-17,0.99999999999152156,0.94198356315371956,0.99998830557547258,9.8356064653004487e-18
C,2,0.0001,15,0.0015,0.30075874473072661,0.99999399998199989,0.99999399998318828,0.99999399998318828,0.99998798380407461,0.99998199551174249,0.9999879838040745,1.2167189430533591e-16,0.99999999999026745,0.94198354698602393,0.99998747026578783,9.6410819043502453e-18
C,2,0.0001,16,0.0016000000000000001,0.30075874473072661,0.99999359997951986,0.99999359998078652,0.99999359998078652,0.9999871827245298,0.99998079521635397,0.9999871827245298,8.7973808151355493e-17,0.99999999998892686,0.94198353081853403,0.99998663495694984,8.156876814295207e-17
C,2,0.0001,17,0.0017000000000000001,0.30075874473072661,0.99999319997687985,0.99999319997822478,0.99999319997822478,0.99998638164500897,0.99997959492144528,0.99998638164500897,3.901516233982292e-17,0.99999999998749955,0.94198351465124941,0.99998579964895962,5.1540459580388256e-17
C,2,0.0001,18,0.0018000000000000002,0.30075874473072661,0.99999279997407986,0.99999279997550161,0.99999279997550161,0.9999855805655099,0.99997839462701454,0.9999855805655099,2.0913792265937974e-16,0.99999999998598577,0.94198349848417029,0.99998496434181594,1.2042016036528578e-17
C,2,0.0001,19,0.0019,0.30075874473072661,0.99999239997111977,0.99999239997262102,0.99999239997262102,0.99998477948603426,0.99997719433306365,0.99998477948603437,2.1552711138090913e-16,0.99999999998438571,0.94198348231729712,0.99998412903551936,2.4360068403054305e-17
C,2,0.0001,20,0.002,0.30075874473072661,0.9999919999679997,0.99999199996957711,0.99999199996957711,0.99998397840658226,0.99997599403958892,0.99998397840658226,1.0424813513601712e-16,0.99999999998269906,0.94198346615062922,0.99998329373006967,4.664610109019173e-18
C,2,0.0001,21,0.0021000000000000003,0.30075874473072661,0.99999159996471965,0.99999159996637432,0.99999159996637432,0.99998317732715336,0.99997479374659515,0.99998317732715336,7.4292836749845284e-17,0.99999999998092604,0.94198344998416672,0.99998245842546718,5.18474274006366e-18
C,2,0.0001,22,0.0022000000000000001,0.30075874473072661,0.99999119996127972,0.999991199963013,0.999991199963013,0.99998237624774589,0.99997359345407844,0.99998237624774589,1.299279500949702e-16,0.99999999997906663,0.94198343381791017,0.99998162312171124,6.3846278833898862e-18
C,2,0.0001,23,0.0023,0.30075874473072661,0.99999079995767959,0.99999079995949014,0.99999079995949014,0.99998157516836239,0.99997239316204134,0.9999815751683625,2.3977149504829485e-17,0.99999999997712052,0.94198341765185911,0.9999807878188024,2.322319283395075e-18
C,2,0.0001,24,0.0024000000000000002,0.30075874473072661,0.99999039995391958,0.99999039995580818,0.99999039995580818,0.99998077408900143,0.99997119287048264,0.99998077408900143,1.04508431948252e-16,0.99999999997508826,0.94198340148601356,0.99997995251674043,2.9341559515746445e-17
C,2,0.0001,25,0.0025000000000000001,0.30075874473072661,0.99998999994999949,0.99998999995196514,0.99998999995196514,0.99997997300966379,0.99996999257940222,0.99997997300966379,6.9045987305836349e-17,0.9999999999729694,0.9419833853203734,0.99997911721552535,2.5598188014151779e-17
C,2,0.0001,26,0.0026000000000000003,0.30075874473072661,0.99998959994591941,0.99998959994796088,0.99998959994796088,0.99997917193034824,0.99996879228880153,0.99997917193034824,1.5515548532410044e-17,0.99999999997076405,0.94198336915493897,0.99997828191515692,4.4190287434983175e-17
C,2,0.0001,27,0.0027000000000000001,0.30075874473072661,0.99998919994167934,0.99998919994379853,0.99998919994379853,0.99997837085105734,0.99996759199867835,0.99997837085105734,1.5102272832601819e-16,0.99999999996847255,0.94198335298970992,0.99997744661563537,8.4581738794834197e-18
C,2,0.0001,28,0.0028,0.30075874473072661,0.99998879993727929,0.9999887999394752,0.9999887999394752,0.99997756977178809,0.99996639170903368,0.9999775697717882,2.4358689074867234e-16,0.99999999996609434,0.9419833368246866,0.99997661131696092,2.7449670969373301e-17
C,2,0.0001,29,0.0029000000000000002,0.30075874473072661,0.99998839993271926,0.99998839993499133,0.99998839993499133,0.99997676869254271,0.99996519141986917,0.99997676869254271,5.7907332948847052e-17,0.99999999996362987,0.94198332065986856,0.9999757760191329,3.6892979038601157e-17
C,2,0.0001,30,0.0030000000000000001,0.30075874473072661,0.99998799992799914,0.99998799993034782,0.99998799993034782,0.99997596761332008,0.99996399113118184,0.99997596761332008,1.1064266706321003e-16,0.99999999996107902,0.94198330449525647,0.99997494072215209,5.4086122156187581e-17
C,2,0.0001,31,0.0031000000000000003,0.30075874473072661,0.99998759992311903,0.99998759992554498,0.99998759992554498,0.99997516653412044,0.99996279084297424,0.99997516653412044,2.4856331013890611e-16,0.99999999995844169,0.94198328833084943,0.99997410542601795,2.545322780517205e-17
C,2,0.0001,32,0.0032000000000000002,0.30075874473072661,0.99998719991807894,0.99998719992058016,0.99998719992058016,0.99997436545494167,0.99996159055524403,0.99997436545494167,1.3058162161113145e-16,0.99999999995571798,0.94198327216664812,0.99997327013073067,1.576624860689624e-17
